Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  68.00-69.00  sec   573 KBytes  4.69 Mbits/sec    0    600 KBytes       
[  4]  69.00-70.00  sec   509 KBytes  4.17 Mbits/sec    0    601 KBytes       
[  4]  70.00-71.00  sec   382 KBytes  3.13 Mbits/sec    0    605 KBytes       
[  4]  71.00-72.00  sec   445 KBytes  3.65 Mbits/sec    0    614 KBytes       
[  4]  72.00-73.00  sec   509 KBytes  4.17 Mbits/sec    0    631 KBytes       
[  4]  73.00-74.00  sec   573 KBytes  4.69 Mbits/sec    0    665 KBytes       
[  4]  74.00-75.01  sec   445 KBytes  3.63 Mbits/sec    0    708 KBytes       
[  4]  75.01-76.00  sec   445 KBytes  3.67 Mbits/sec    0    755 KBytes       
[  4]  76.00-77.00  sec   191 KBytes  1.56 Mbits/sec   19    547 KBytes       
[  4]  77.00-78.00  sec  1.99 MBytes  16.7 Mbits/sec    0    584 KBytes       
[  4]  78.00-79.00  sec  1.06 MBytes  8.86 Mbits/sec    0    648 KBytes       
[  4]  79.00-80.00  sec  1.06 MBytes  8.86 Mbits/sec    0    700 KBytes       
[  4]  80.00-81.00  sec  1.06 MBytes  8.87 Mbits/sec    0    737 KBytes       
[  4]  81.00-82.00  sec  1.12 MBytes  9.39 Mbits/sec    0    761 KBytes       
[  4]  82.00-83.00  sec  1.12 MBytes  9.39 Mbits/sec    0    773 KBytes       
[  4]  83.00-84.00  sec  1.06 MBytes  8.86 Mbits/sec    0    781 KBytes       
[  4]  84.00-85.00  sec  1.06 MBytes  8.86 Mbits/sec    0    782 KBytes       
[  4]  85.00-86.00  sec  1.12 MBytes  9.39 Mbits/sec    0    783 KBytes       
[  4]  86.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0    783 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-86.00  sec  50.7 MBytes  4.95 Mbits/sec  241             sender
[  4]   0.00-86.00  sec  47.3 MBytes  4.61 Mbits/sec                  receiver

iperf Done.
