Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   693 KBytes  5.67 Mbits/sec    0   59.4 KBytes       
[  4]   1.00-2.00   sec   509 KBytes  4.17 Mbits/sec    0   79.2 KBytes       
[  4]   2.00-3.00   sec   636 KBytes  5.21 Mbits/sec    0    102 KBytes       
[  4]   3.00-4.00   sec  1.37 MBytes  11.5 Mbits/sec    0    158 KBytes       
[  4]   4.00-5.00   sec  1.49 MBytes  12.5 Mbits/sec    0    216 KBytes       
[  4]   5.00-6.00   sec  1.37 MBytes  11.5 Mbits/sec    0    273 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    331 KBytes       
[  4]   7.00-8.00   sec  1.43 MBytes  12.0 Mbits/sec    0    389 KBytes       
[  4]   8.00-9.00   sec  1.30 MBytes  11.0 Mbits/sec    0    440 KBytes       
[  4]   9.00-10.00  sec  1.49 MBytes  12.5 Mbits/sec    3    513 KBytes       
[  4]  10.00-11.00  sec  1.06 MBytes  8.87 Mbits/sec    0    515 KBytes       
[  4]  11.00-12.00  sec  1.12 MBytes  9.38 Mbits/sec    0    516 KBytes       
[  4]  12.00-13.00  sec  1.18 MBytes  9.90 Mbits/sec    0    525 KBytes       
[  4]  13.00-14.00  sec  1.24 MBytes  10.4 Mbits/sec    0    543 KBytes       
[  4]  14.00-15.00  sec  1.18 MBytes  9.91 Mbits/sec    0    573 KBytes       
[  4]  15.00-16.00  sec  1.37 MBytes  11.5 Mbits/sec    0    617 KBytes       
[  4]  16.00-17.00  sec  1.49 MBytes  12.5 Mbits/sec    0    677 KBytes       
[  4]  17.00-18.00  sec  1.55 MBytes  13.0 Mbits/sec    0    759 KBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0    864 KBytes       
[  4]  19.00-20.00  sec  2.23 MBytes  18.7 Mbits/sec    0    991 KBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.12 MBytes       
[  4]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.29 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    8   1.68 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec  163   1.19 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec   36   1.19 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.31 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.49 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec   34   1.29 MBytes       
[  4]  31.00-32.00  sec   866 KBytes  7.10 Mbits/sec   40   1.06 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.07 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.16 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.27 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.31 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  45.00-46.00  sec  1.21 MBytes  10.2 Mbits/sec    0   1.36 MBytes       
[  4]  46.00-47.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.40 MBytes       
[  4]  47.00-48.00  sec  1.12 MBytes  9.37 Mbits/sec    0   1.47 MBytes       
[  4]  48.00-49.00  sec   509 KBytes  4.17 Mbits/sec   15   1.35 MBytes       
[  4]  49.00-50.00  sec  63.6 KBytes   522 Kbits/sec   52   1.06 MBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  4]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[  4]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  57.00-58.00  sec   712 KBytes  5.84 Mbits/sec   21   1.16 MBytes       
[  4]  58.00-59.00  sec   891 KBytes  7.30 Mbits/sec   12   1.02 MBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  4]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.09 MBytes       
[  4]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  62.00-63.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.18 MBytes       
[  4]  63.00-64.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  4]  64.00-65.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.23 MBytes       
[  4]  65.00-66.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.23 MBytes       
[  4]  66.00-67.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  67.00-68.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  68.00-69.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  4]  70.00-71.00  sec  1.04 MBytes  8.72 Mbits/sec    0   1.26 MBytes       
[  4]  71.00-72.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.29 MBytes       
[  4]  72.00-73.00  sec  1.12 MBytes  9.39 Mbits/sec    0   1.33 MBytes       
[  4]  73.00-74.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.38 MBytes       
[  4]  74.00-75.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.46 MBytes       
[  4]  75.00-76.00  sec   764 KBytes  6.25 Mbits/sec   12   1.43 MBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec   65   1.07 MBytes       
[  4]  77.00-78.00  sec  1.25 MBytes  10.5 Mbits/sec    4   1.07 MBytes       
[  4]  78.00-79.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  4]  79.00-80.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  4]  80.00-81.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  82.00-83.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[  4]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  84.00-84.00  sec  0.00 Bytes  0.00 bits/sec    0   1.46 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-84.00  sec   100 MBytes  10.0 Mbits/sec  465             sender
[  4]   0.00-84.00  sec  91.8 MBytes  9.16 Mbits/sec                  receiver

iperf Done.
