Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  66.00-67.00  sec   191 KBytes  1.56 Mbits/sec   10   58.0 KBytes       
[  4]  67.00-68.00  sec   191 KBytes  1.56 Mbits/sec    0   42.4 KBytes       
[  4]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]  70.00-71.00  sec  63.6 KBytes   522 Kbits/sec    0   48.1 KBytes       
[  4]  71.00-72.00  sec  63.6 KBytes   521 Kbits/sec    0   48.1 KBytes       
[  4]  72.00-73.00  sec  63.6 KBytes   521 Kbits/sec    0   50.9 KBytes       
[  4]  73.00-74.00  sec  63.6 KBytes   521 Kbits/sec    0   58.0 KBytes       
[  4]  74.00-75.00  sec  63.6 KBytes   521 Kbits/sec    0   67.9 KBytes       
[  4]  75.00-76.00  sec   127 KBytes  1.04 Mbits/sec    0    102 KBytes       
[  4]  76.00-77.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  4]  77.00-78.00  sec   445 KBytes  3.65 Mbits/sec    0    199 KBytes       
[  4]  78.00-79.00  sec   636 KBytes  5.21 Mbits/sec    0    279 KBytes       
[  4]  79.00-80.00  sec   700 KBytes  5.73 Mbits/sec    0    366 KBytes       
[  4]  80.00-81.00  sec   127 KBytes  1.04 Mbits/sec   17    332 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec   45    269 KBytes       
[  4]  82.00-83.00  sec   573 KBytes  4.69 Mbits/sec    0    260 KBytes       
[  4]  83.00-84.00  sec   382 KBytes  3.13 Mbits/sec    0    191 KBytes       
[  4]  84.00-85.00  sec   191 KBytes  1.56 Mbits/sec    0    206 KBytes       
[  4]  85.00-86.00  sec   127 KBytes  1.04 Mbits/sec    0    218 KBytes       
[  4]  86.00-87.00  sec   255 KBytes  2.09 Mbits/sec    0    225 KBytes       
[  4]  87.00-88.00  sec   318 KBytes  2.60 Mbits/sec    0    228 KBytes       
[  4]  88.00-89.00  sec   954 KBytes  7.83 Mbits/sec    0    229 KBytes       
[  4]  89.00-90.00  sec  1.06 MBytes  8.86 Mbits/sec    0    235 KBytes       
[  4]  90.00-90.69  sec   764 KBytes  9.13 Mbits/sec    0    242 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-90.69  sec  10.5 MBytes   968 Kbits/sec  291             sender
[  4]   0.00-90.69  sec  8.57 MBytes   793 Kbits/sec                  receiver

iperf Done.
