Step; State; Reward
1; [[0.1326 4.773  0.     0.0962 0.     0.     4.5    4.45   0.0962 4.44
  4.44   0.     0.     0.     0.     0.    ]]; [257.56073]
2; [[ 0.2168 10.01    0.      0.2168  0.      0.      9.445   9.43    0.2168
   6.4     6.4     0.      0.      0.      0.      0.    ]]; [910.0765]
3; [[3.0078e-01 1.4305e+01 1.4305e-04 3.0054e-01 1.4305e-04 1.4305e-04
  1.1633e+01 1.1320e+01 3.0054e-01 8.6953e+00 8.6953e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1397.4799]
4; [[0.419  9.195  0.     0.419  0.     0.     9.48   9.48   0.4187 7.89
  7.89   0.     0.     0.     0.     0.    ]]; [978.209]
5; [[2.1228e-01 9.6719e+00 1.1444e-04 2.1216e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4609e+00 2.1228e-01 6.6367e+00 6.6367e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [916.0079]
6; [[0.324 9.77  0.    0.324 0.    0.    9.31  9.31  0.324 4.695 4.695 0.
  0.    0.    0.    0.   ]]; [834.18286]
7; [[3.8770e-01 9.0703e+00 1.1444e-04 3.8770e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4453e+00 3.8770e-01 4.8984e+00 4.8984e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [850.6952]
8; [[ 0.261  12.43    0.      0.2603  0.      0.     11.836  11.805   0.2603
   5.664   5.664   0.      0.      0.      0.      0.    ]]; [1276.5663]
9; [[4.4067e-01 9.3438e+00 1.1444e-04 4.8413e-01 1.1444e-04 1.1444e-04
  9.4766e+00 9.4844e+00 4.8413e-01 4.5078e+00 4.5078e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [850.0233]
10; [[ 0.2578 10.06    0.      0.2578  0.      0.      9.47    9.46    0.2578
   3.77    3.77    0.      0.      0.      0.      0.    ]]; [816.6518]
11; [[2.9785e-01 1.1867e+01 1.4305e-04 2.9858e-01 1.4305e-04 1.4305e-04
  1.1805e+01 1.1531e+01 2.9858e-01 1.9609e+00 1.9609e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1055.5463]
12; [[0.2086 9.88   0.     0.2086 0.     0.     9.52   9.516  0.2086 1.356
  1.356  0.     0.     0.     0.     0.    ]]; [722.2866]
13; [[5.1514e-01 8.8906e+00 1.1444e-04 5.1465e-01 1.1444e-04 1.1444e-04
  9.5000e+00 9.5000e+00 5.1465e-01 2.5215e+00 2.5215e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [770.0089]
14; [[ 0.3083 10.836   0.      0.3083  0.      0.      9.5     9.5     0.3083
   1.705   1.705   0.      0.      0.      0.      0.    ]]; [759.7525]
15; [[0.4126 8.875  0.     0.4126 0.     0.     9.51   9.51   0.4126 1.345
  1.345  0.     0.     0.     0.     0.    ]]; [715.7338]
16; [[ 0.2607  9.57    0.      0.2075  0.      0.      9.44   11.8     0.2593
   1.932   1.932   0.      0.      0.      0.      0.    ]]; [968.3683]
17; [[ 1.894   9.51    0.      1.8955  0.      0.     10.98    9.336   0.253
   2.512   2.512   0.      0.      0.      1.643   0.    ]]; [994.0761]
18; [[ 6.348  8.52   0.     6.316  0.     0.    14.65  11.836  0.708  5.613
   5.613  0.     0.     0.     5.61   0.   ]]; [2491.8916]
19; [[ 5.4    8.09   0.     5.402  0.     0.    13.     9.47   0.511  4.89
   4.89   0.     0.     0.     4.895  0.   ]]; [1785.3494]
20; [[10.055  3.443  0.    10.055  0.     0.    12.91  11.87   0.586  9.47
   9.47   0.     0.     0.     9.47   0.   ]]; [3538.8005]
21; [[7.105  3.059  0.     7.105  0.     0.     9.66   8.734  0.4995 6.605
  6.605  0.     0.     0.     6.605  0.    ]]; [1883.5973]
22; [[6.4609e+00 2.5391e+00 1.1444e-04 6.4609e+00 1.1444e-04 1.1444e-04
  8.4062e+00 9.5000e+00 5.6836e-01 7.7422e+00 7.7422e+00 1.1444e-04
