Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   419 KBytes  3.42 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec   191 KBytes  1.57 Mbits/sec    0   63.6 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.57 Mbits/sec    0   70.7 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   77.8 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    123 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    157 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    208 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.22 Mbits/sec    0    287 KBytes       
[  4]   9.00-10.00  sec   891 KBytes  7.30 Mbits/sec    0    407 KBytes       
[  4]  10.00-11.00  sec   191 KBytes  1.56 Mbits/sec    0    426 KBytes       
[  4]  11.00-12.00  sec  1018 KBytes  8.34 Mbits/sec    0    564 KBytes       
[  4]  12.00-13.00  sec   445 KBytes  3.65 Mbits/sec    0    626 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec   16    588 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  123    440 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    9    440 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  122    370 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec   72    277 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec   15    124 KBytes       
[  4]  19.00-20.00  sec  1.12 MBytes  9.38 Mbits/sec    0    255 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   522 Kbits/sec    0    313 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    324 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    342 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.57 Mbits/sec    0    358 KBytes       
[  4]  24.00-25.00  sec   255 KBytes  2.09 Mbits/sec    0    365 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    368 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.09 Mbits/sec    0    370 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    375 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0    387 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0    409 KBytes       
[  4]  30.00-31.01  sec   127 KBytes  1.04 Mbits/sec    0    426 KBytes       
[  4]  31.01-32.00  sec  0.00 Bytes  0.00 bits/sec    0    448 KBytes       
[  4]  32.00-33.00  sec   255 KBytes  2.08 Mbits/sec    0    509 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   522 Kbits/sec    0    542 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec   38    431 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    400 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   33    400 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    1    400 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    400 KBytes       
[  4]  39.00-40.00  sec   445 KBytes  3.65 Mbits/sec   71    400 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec   72    296 KBytes       
[  4]  41.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    296 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-41.00  sec  10.1 MBytes  2.07 Mbits/sec  572             sender
[  4]   0.00-41.00  sec  6.89 MBytes  1.41 Mbits/sec                  receiver

iperf Done.
