Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0    129 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0    136 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    141 KBytes       
[  4]  34.00-35.01  sec   127 KBytes  1.04 Mbits/sec    0    143 KBytes       
[  4]  35.01-36.00  sec   127 KBytes  1.05 Mbits/sec    0    150 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0    164 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    0    188 KBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0    214 KBytes       
[  4]  39.00-40.00  sec   382 KBytes  3.13 Mbits/sec    0    252 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   521 Kbits/sec   21    184 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.09 Mbits/sec   12    184 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    198 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.08 Mbits/sec    0    223 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.57 Mbits/sec    0    242 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.08 Mbits/sec    0    255 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0    260 KBytes       
[  4]  47.00-48.00  sec   255 KBytes  2.08 Mbits/sec    0    263 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.57 Mbits/sec    0    264 KBytes       
[  4]  49.00-50.00  sec   318 KBytes  2.60 Mbits/sec    0    270 KBytes       
[  4]  50.00-51.00  sec   318 KBytes  2.61 Mbits/sec    0    281 KBytes       
[  4]  51.00-52.00  sec   382 KBytes  3.13 Mbits/sec    0    301 KBytes       
[  4]  52.00-53.00  sec   445 KBytes  3.65 Mbits/sec    0    332 KBytes       
[  4]  53.00-54.00  sec   700 KBytes  5.73 Mbits/sec    0    386 KBytes       
[  4]  54.00-55.00  sec   700 KBytes  5.73 Mbits/sec    0    451 KBytes       
[  4]  55.00-56.00  sec   827 KBytes  6.78 Mbits/sec    0    533 KBytes       
[  4]  56.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0    533 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-56.00  sec  10.5 MBytes  1.57 Mbits/sec  104             sender
[  4]   0.00-56.00  sec  8.13 MBytes  1.22 Mbits/sec                  receiver

iperf Done.
