Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   430 KBytes  3.50 Mbits/sec    0   46.7 KBytes       
[  4]   1.01-2.01   sec   255 KBytes  2.09 Mbits/sec    0   56.6 KBytes       
[  4]   2.01-3.00   sec   191 KBytes  1.57 Mbits/sec    0   65.0 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   72.1 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   84.8 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    115 KBytes       
[  4]   6.00-7.00   sec   382 KBytes  3.13 Mbits/sec    0    158 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    242 KBytes       
[  4]   8.00-9.00   sec   255 KBytes  2.08 Mbits/sec    0    276 KBytes       
[  4]   9.00-10.00  sec   764 KBytes  6.24 Mbits/sec    0    369 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   76    257 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    1    257 KBytes       
[  4]  12.00-13.00  sec   318 KBytes  2.60 Mbits/sec    0    262 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.57 Mbits/sec    0    276 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    9    201 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    195 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec    0    199 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    212 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.56 Mbits/sec    0    226 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    232 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    233 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    236 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    240 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.09 Mbits/sec    0    250 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    267 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.08 Mbits/sec    0    301 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    331 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    385 KBytes       
[  4]  28.00-29.00  sec   827 KBytes  6.77 Mbits/sec    0    479 KBytes       
[  4]  29.00-30.00  sec   127 KBytes  1.04 Mbits/sec   41    363 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   28    349 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    349 KBytes       
[  4]  32.00-33.00  sec  1.06 MBytes  8.87 Mbits/sec    0    365 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    403 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec    2    407 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   33    291 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0    291 KBytes       
[  4]  37.00-38.00  sec   509 KBytes  4.17 Mbits/sec    0    304 KBytes       
[  4]  38.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    304 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-38.00  sec  10.3 MBytes  2.27 Mbits/sec  190             sender
[  4]   0.00-38.00  sec  7.87 MBytes  1.74 Mbits/sec                  receiver

iperf Done.
