Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   177 KBytes  1.45 Mbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   206 KBytes  1.69 Mbits/sec    0   45.2 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   55.1 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   66.5 KBytes       
[  4]   5.00-6.00   sec   255 KBytes  2.09 Mbits/sec    0   91.9 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   91.9 KBytes       
[  4]   7.00-8.00   sec   191 KBytes  1.56 Mbits/sec    0    110 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    163 KBytes       
[  4]   9.00-10.01  sec  0.00 Bytes  0.00 bits/sec    0    165 KBytes       
[  4]  10.01-11.00  sec   127 KBytes  1.05 Mbits/sec   34    127 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    3    127 KBytes       
[  4]  12.00-13.00  sec   191 KBytes  1.56 Mbits/sec    0    129 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec    0    158 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    158 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0    174 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    0    178 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0    180 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    188 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    197 KBytes       
[  4]  21.00-22.01  sec   191 KBytes  1.56 Mbits/sec    0    211 KBytes       
[  4]  22.01-23.00  sec   445 KBytes  3.67 Mbits/sec    0    255 KBytes       
[  4]  23.00-24.00  sec   382 KBytes  3.13 Mbits/sec    0    301 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.60 Mbits/sec    0    335 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    335 KBytes       
[  4]  26.00-27.00  sec  1.06 MBytes  8.86 Mbits/sec    0    471 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    474 KBytes       
[  4]  28.00-29.02  sec   764 KBytes  6.14 Mbits/sec    0    568 KBytes       
[  4]  29.02-30.00  sec   954 KBytes  7.96 Mbits/sec    0    694 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    699 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.57 Mbits/sec   31    591 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   86    508 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    508 KBytes       
[  4]  34.00-35.01  sec   891 KBytes  7.25 Mbits/sec    0    515 KBytes       
[  4]  35.01-36.00  sec  63.6 KBytes   525 Kbits/sec    0    526 KBytes       
[  4]  36.00-37.04  sec   573 KBytes  4.52 Mbits/sec    0    600 KBytes       
[  4]  37.04-38.00  sec  0.00 Bytes  0.00 bits/sec    0    607 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec   10    600 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    6    474 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    467 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.13 Mbits/sec   38    440 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   522 Kbits/sec    0    440 KBytes       
[  4]  43.00-44.01  sec   891 KBytes  7.22 Mbits/sec    0    460 KBytes       
[  4]  44.01-45.00  sec  63.6 KBytes   527 Kbits/sec    0    462 KBytes       
[  4]  45.00-46.00  sec   382 KBytes  3.13 Mbits/sec    0    498 KBytes       
[  4]  46.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0    498 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-46.00  sec  10.1 MBytes  1.85 Mbits/sec  208             sender
[  4]   0.00-46.00  sec  6.56 MBytes  1.20 Mbits/sec                  receiver

iperf Done.
