Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.26   sec  82.0 KBytes   534 Kbits/sec    1   14.1 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0   69.3 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0   80.6 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0    132 KBytes       
[  4]  35.00-36.00  sec   382 KBytes  3.13 Mbits/sec    0    174 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec    2    197 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   30    140 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    5    140 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.08 Mbits/sec    0    110 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    0    103 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   522 Kbits/sec    0    109 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec    0    113 KBytes       
[  4]  43.00-44.00  sec  63.6 KBytes   521 Kbits/sec    0    116 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    117 KBytes       
[  4]  45.00-46.00  sec  63.6 KBytes   521 Kbits/sec    0    120 KBytes       
[  4]  46.00-47.00  sec  63.6 KBytes   522 Kbits/sec    0    126 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  48.00-49.00  sec  63.6 KBytes   521 Kbits/sec    0    170 KBytes       
[  4]  49.00-50.00  sec  63.6 KBytes   521 Kbits/sec    0    197 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    245 KBytes       
[  4]  51.00-52.00  sec  63.6 KBytes   521 Kbits/sec   14    215 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec   14    181 KBytes       
[  4]  53.00-54.00  sec   191 KBytes  1.56 Mbits/sec   11    181 KBytes       
[  4]  54.00-55.00  sec  63.6 KBytes   522 Kbits/sec    0    181 KBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec    0    197 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    7    188 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec   28    143 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec   20    143 KBytes       
[  4]  59.00-60.00  sec  63.6 KBytes   521 Kbits/sec   14    143 KBytes       
[  4]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec   22    143 KBytes       
[  4]  61.00-62.00  sec   127 KBytes  1.04 Mbits/sec   12    126 KBytes       
[  4]  62.00-63.00  sec  63.6 KBytes   521 Kbits/sec   11   99.0 KBytes       
[  4]  63.00-64.00  sec   127 KBytes  1.04 Mbits/sec    6   99.0 KBytes       
[  4]  64.00-65.00  sec   318 KBytes  2.61 Mbits/sec    1   80.6 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    2   69.3 KBytes       
[  4]  66.00-67.00  sec   127 KBytes  1.04 Mbits/sec    4   59.4 KBytes       
[  4]  67.00-68.00  sec  63.6 KBytes   520 Kbits/sec    1   48.1 KBytes       
[  4]  68.00-69.00  sec  63.6 KBytes   522 Kbits/sec    0   49.5 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   521 Kbits/sec    0   53.7 KBytes       
[  4]  70.00-71.00  sec  63.6 KBytes   521 Kbits/sec    0   58.0 KBytes       
[  4]  71.00-72.00  sec   127 KBytes  1.04 Mbits/sec    0   58.0 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   59.4 KBytes       
[  4]  73.00-74.00  sec  63.6 KBytes   522 Kbits/sec    0   63.6 KBytes       
[  4]  74.00-75.00  sec  63.6 KBytes   521 Kbits/sec    0   74.9 KBytes       
[  4]  75.00-76.00  sec   191 KBytes  1.56 Mbits/sec    0    102 KBytes       
[  4]  76.00-77.00  sec   191 KBytes  1.57 Mbits/sec    0    143 KBytes       
[  4]  77.00-78.00  sec   127 KBytes  1.04 Mbits/sec    0    185 KBytes       
[  4]  78.00-79.00  sec   191 KBytes  1.56 Mbits/sec    0    219 KBytes       
[  4]  79.00-80.00  sec   445 KBytes  3.65 Mbits/sec    0    308 KBytes       
[  4]  80.00-81.00  sec   764 KBytes  6.26 Mbits/sec    0    410 KBytes       
[  4]  81.00-82.01  sec   636 KBytes  5.16 Mbits/sec    0    494 KBytes       
[  4]  82.01-83.00  sec   127 KBytes  1.05 Mbits/sec   59    362 KBytes       
[  4]  83.00-84.00  sec   191 KBytes  1.56 Mbits/sec    0    362 KBytes       
[  4]  84.00-85.00  sec   827 KBytes  6.77 Mbits/sec    0    393 KBytes       
[  4]  85.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0    393 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-85.00  sec  10.1 MBytes   994 Kbits/sec  317             sender
[  4]   0.00-85.00  sec  7.61 MBytes   751 Kbits/sec                  receiver

iperf Done.
