Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   786 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   279 KBytes  2.29 Mbits/sec    0   45.2 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   53.7 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   63.6 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   86.3 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    124 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]   8.00-9.00   sec   445 KBytes  3.65 Mbits/sec    0    187 KBytes       
[  4]   9.00-10.00  sec   255 KBytes  2.09 Mbits/sec    0    215 KBytes       
[  4]  10.00-11.00  sec   445 KBytes  3.65 Mbits/sec    0    280 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    280 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   83    195 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec   20    144 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   26    167 KBytes       
[  4]  16.00-17.01  sec  63.6 KBytes   517 Kbits/sec    0    195 KBytes       
[  4]  17.01-18.00  sec   382 KBytes  3.16 Mbits/sec    0    146 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    143 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    154 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    154 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    161 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    164 KBytes       
[  4]  24.00-25.01  sec  63.6 KBytes   516 Kbits/sec    0    164 KBytes       
[  4]  25.01-26.00  sec   127 KBytes  1.05 Mbits/sec    0    171 KBytes       
[  4]  26.00-27.01  sec  0.00 Bytes  0.00 bits/sec    0    174 KBytes       
[  4]  27.01-28.02  sec   127 KBytes  1.03 Mbits/sec    0    208 KBytes       
[  4]  28.02-29.11  sec  63.6 KBytes   479 Kbits/sec    0    214 KBytes       
[  4]  29.11-30.05  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  30.05-31.00  sec   318 KBytes  2.72 Mbits/sec    0    311 KBytes       
[  4]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0    315 KBytes       
[  4]  32.01-33.00  sec  0.00 Bytes  0.00 bits/sec    1    308 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    5    221 KBytes       
[  4]  34.00-35.01  sec  0.00 Bytes  0.00 bits/sec    0    221 KBytes       
[  4]  35.01-36.00  sec   573 KBytes  4.72 Mbits/sec    0    235 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    238 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    238 KBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0    280 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    281 KBytes       
