Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   184 KBytes  1.51 Mbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  69.3 KBytes   568 Kbits/sec    0   18.4 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   22.6 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   33.9 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   48.1 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0   89.1 KBytes       
[  4]   6.00-7.00   sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    144 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    199 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    0    216 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    216 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   46    154 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    154 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec   21    151 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    7    122 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.57 Mbits/sec   28    140 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   29    107 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  4]  18.00-19.00  sec   382 KBytes  3.13 Mbits/sec    0   99.0 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0   77.8 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    0   84.8 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   84.8 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0   89.1 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0   90.5 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec    0    112 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    144 KBytes       
[  4]  28.00-29.00  sec   127 KBytes  1.04 Mbits/sec    0    202 KBytes       
[  4]  29.00-30.00  sec   509 KBytes  4.17 Mbits/sec    0    283 KBytes       
[  4]  30.00-31.01  sec   127 KBytes  1.03 Mbits/sec    0    303 KBytes       
[  4]  31.01-32.00  sec   891 KBytes  7.37 Mbits/sec    0    424 KBytes       
[  4]  32.00-33.00  sec   255 KBytes  2.08 Mbits/sec    0    454 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    498 KBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    682 KBytes       
[  4]  35.00-36.00  sec   120 KBytes   981 Kbits/sec    0    682 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  128    478 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   33    475 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   73    427 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   66    378 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec   59    478 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.13 Mbits/sec   42    222 KBytes       
[  4]  42.00-43.00  sec  1.12 MBytes  9.38 Mbits/sec    0    197 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    0    338 KBytes       
[  4]  44.00-45.00  sec   509 KBytes  4.17 Mbits/sec    0    366 KBytes       
[  4]  45.00-46.00  sec  1.12 MBytes  9.38 Mbits/sec    0    392 KBytes       
[  4]  46.00-47.00  sec  1.12 MBytes  9.38 Mbits/sec    0    403 KBytes       
[  4]  47.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    403 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.00  sec  11.1 MBytes  1.97 Mbits/sec  532             sender
[  4]   0.00-47.00  sec  7.64 MBytes  1.36 Mbits/sec                  receiver

iperf Done.
