Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   283 KBytes  2.32 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.00   sec   198 KBytes  1.62 Mbits/sec    0   49.5 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   77.8 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    110 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    150 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    198 KBytes       
[  4]   8.00-9.00   sec   573 KBytes  4.69 Mbits/sec    0    272 KBytes       
[  4]   9.00-10.00  sec   445 KBytes  3.65 Mbits/sec   17    293 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   47    233 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    9    233 KBytes       
[  4]  12.00-13.00  sec   573 KBytes  4.69 Mbits/sec    0    242 KBytes       
[  4]  13.00-14.00  sec   255 KBytes  2.08 Mbits/sec    0    274 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    9    242 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    5    198 KBytes       
[  4]  16.00-17.00  sec   573 KBytes  4.69 Mbits/sec    0    204 KBytes       
[  4]  17.00-18.00  sec   318 KBytes  2.61 Mbits/sec    0    222 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec    0    232 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    238 KBytes       
[  4]  20.00-21.00  sec   255 KBytes  2.09 Mbits/sec    0    239 KBytes       
[  4]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec    0    240 KBytes       
[  4]  22.00-23.00  sec   255 KBytes  2.08 Mbits/sec    0    243 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    250 KBytes       
[  4]  24.00-25.00  sec   255 KBytes  2.09 Mbits/sec    0    264 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    288 KBytes       
[  4]  26.00-27.00  sec   191 KBytes  1.56 Mbits/sec    0    325 KBytes       
[  4]  27.00-28.00  sec   636 KBytes  5.21 Mbits/sec    0    387 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   51    279 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   520 Kbits/sec   15    279 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.61 Mbits/sec    0    279 KBytes       
[  4]  31.00-32.00  sec   573 KBytes  4.69 Mbits/sec    0    304 KBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec    0    337 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    363 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.60 Mbits/sec    0    380 KBytes       
[  4]  35.00-36.00  sec   382 KBytes  3.13 Mbits/sec    0    392 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0    396 KBytes       
[  4]  37.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    396 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-37.00  sec  10.1 MBytes  2.29 Mbits/sec  153             sender
[  4]   0.00-37.00  sec  8.30 MBytes  1.88 Mbits/sec                  receiver

iperf Done.
