Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  68.00-69.00  sec   255 KBytes  2.09 Mbits/sec    2    387 KBytes       
[  4]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    8    273 KBytes       
[  4]  70.00-71.00  sec   636 KBytes  5.21 Mbits/sec    0    283 KBytes       
[  4]  71.00-72.00  sec   382 KBytes  3.13 Mbits/sec    0    307 KBytes       
[  4]  72.00-73.00  sec   318 KBytes  2.60 Mbits/sec    0    321 KBytes       
[  4]  73.00-74.00  sec   318 KBytes  2.61 Mbits/sec    0    328 KBytes       
[  4]  74.00-75.00  sec   318 KBytes  2.60 Mbits/sec    0    331 KBytes       
[  4]  75.00-76.00  sec   318 KBytes  2.61 Mbits/sec    0    332 KBytes       
[  4]  76.00-77.00  sec   318 KBytes  2.60 Mbits/sec    0    337 KBytes       
[  4]  77.00-78.00  sec   255 KBytes  2.08 Mbits/sec    0    345 KBytes       
[  4]  78.00-79.00  sec   318 KBytes  2.61 Mbits/sec    0    363 KBytes       
[  4]  79.00-80.00  sec   954 KBytes  7.82 Mbits/sec    0    396 KBytes       
[  4]  80.00-81.00  sec  1.12 MBytes  9.38 Mbits/sec    0    440 KBytes       
[  4]  81.00-82.00  sec  1.12 MBytes  9.38 Mbits/sec    0    503 KBytes       
[  4]  82.00-83.00  sec  1.12 MBytes  9.39 Mbits/sec    0    587 KBytes       
[  4]  83.00-84.00  sec  1.12 MBytes  9.38 Mbits/sec    0    691 KBytes       
[  4]  84.00-85.00  sec  1.06 MBytes  8.86 Mbits/sec    0    820 KBytes       
[  4]  85.00-86.00  sec  1.06 MBytes  8.86 Mbits/sec    0    976 KBytes       
[  4]  86.00-87.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.13 MBytes       
[  4]  87.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0   1.13 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-87.00  sec  50.9 MBytes  4.91 Mbits/sec  1049             sender
[  4]   0.00-87.00  sec  45.1 MBytes  4.35 Mbits/sec                  receiver

iperf Done.
