Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   669 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec   208 KBytes  1.70 Mbits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   5.00-6.00   sec  70.7 KBytes   579 Kbits/sec    0   49.5 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.57 Mbits/sec    0   72.1 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   72.1 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   521 Kbits/sec   11   63.6 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    0   62.2 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   520 Kbits/sec    0   79.2 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   522 Kbits/sec    0   84.8 KBytes       
[  4]  13.00-14.00  sec   127 KBytes  1.04 Mbits/sec    0   86.3 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0    100 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0    110 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    0    151 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   522 Kbits/sec    0    163 KBytes       
[  4]  19.00-20.00  sec  1.24 MBytes  10.5 Mbits/sec    0    259 KBytes       
[  4]  20.00-21.00  sec  1.37 MBytes  11.5 Mbits/sec    0    335 KBytes       
[  4]  21.00-22.00  sec  1.62 MBytes  13.5 Mbits/sec    0    443 KBytes       
[  4]  22.00-23.00  sec  1.62 MBytes  13.6 Mbits/sec    0    564 KBytes       
[  4]  23.00-24.00  sec  1.86 MBytes  15.6 Mbits/sec    0    718 KBytes       
[  4]  24.00-25.00  sec  1.74 MBytes  14.6 Mbits/sec    0    877 KBytes       
[  4]  25.00-26.00  sec  2.17 MBytes  18.2 Mbits/sec    0   1.06 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.53 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.85 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec  144   1.47 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec  152   1.33 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.36 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  34.00-35.00  sec  1016 KBytes  8.30 Mbits/sec   34   1.24 MBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec   56   1.04 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.08 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.18 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  4]  41.00-42.00  sec  1.02 MBytes  8.56 Mbits/sec    0   1.23 MBytes       
[  4]  42.00-43.00  sec   891 KBytes  7.30 Mbits/sec    0   1.25 MBytes       
[  4]  43.00-44.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.25 MBytes       
[  4]  44.00-45.00  sec   891 KBytes  7.30 Mbits/sec    0   1.26 MBytes       
[  4]  45.00-46.00  sec   827 KBytes  6.78 Mbits/sec    0   1.26 MBytes       
[  4]  46.00-47.00  sec  1018 KBytes  8.31 Mbits/sec    0   1.26 MBytes       
[  4]  47.00-48.01  sec   191 KBytes  1.56 Mbits/sec   10   1.08 MBytes       
[  4]  48.01-49.00  sec  0.00 Bytes  0.00 bits/sec   11    909 KBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0    921 KBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    990 KBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  4]  52.00-53.00  sec   996 KBytes  8.16 Mbits/sec    0   1.11 MBytes       
[  4]  53.00-54.00  sec   764 KBytes  6.26 Mbits/sec    0   1.16 MBytes       
[  4]  54.00-55.00  sec   764 KBytes  6.23 Mbits/sec    0   1.20 MBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec   12   1.09 MBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec   26    871 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    2    871 KBytes       
[  4]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0    892 KBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0    933 KBytes       
[  4]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0    976 KBytes       
[  4]  61.00-62.00  sec  1.03 MBytes  8.69 Mbits/sec    0   1004 KBytes       
[  4]  62.00-63.00  sec   445 KBytes  3.64 Mbits/sec    7    976 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   13    735 KBytes       
[  4]  64.00-65.00  sec   700 KBytes  5.75 Mbits/sec    0    714 KBytes       
[  4]  65.00-66.00  sec  1.18 MBytes  9.90 Mbits/sec    0    731 KBytes       
[  4]  66.00-67.00  sec   700 KBytes  5.74 Mbits/sec    0    768 KBytes       
[  4]  67.00-68.00  sec   573 KBytes  4.69 Mbits/sec    0    800 KBytes       
[  4]  68.00-69.00  sec   700 KBytes  5.74 Mbits/sec    0    831 KBytes       
[  4]  69.00-70.00  sec   445 KBytes  3.65 Mbits/sec    0    846 KBytes       
[  4]  70.00-71.00  sec   509 KBytes  4.18 Mbits/sec    0    856 KBytes       
[  4]  71.00-72.00  sec   573 KBytes  4.69 Mbits/sec    0    861 KBytes       
[  4]  72.00-73.00  sec   318 KBytes  2.61 Mbits/sec    0    863 KBytes       
[  4]  73.00-74.00  sec   318 KBytes  2.61 Mbits/sec    0    865 KBytes       
[  4]  74.00-75.00  sec   382 KBytes  3.13 Mbits/sec   25    817 KBytes       
[  4]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec  153    609 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec   82    609 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec  106    609 KBytes       
[  4]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec   70    602 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec   85    608 KBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec   52    609 KBytes       
[  4]  81.00-82.01  sec  1.18 MBytes  9.87 Mbits/sec    5    583 KBytes       
[  4]  82.01-83.00  sec  1018 KBytes  8.39 Mbits/sec  102    426 KBytes       
