Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  82.0 KBytes   666 Kbits/sec    1   14.1 KBytes       
[  4]   1.01-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   4.00-5.00   sec   187 KBytes  1.53 Mbits/sec    0   42.4 KBytes       
[  4]   5.00-6.01   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   6.01-7.00   sec   134 KBytes  1.11 Mbits/sec    0   52.3 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  4]   8.00-9.00   sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    0    119 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    119 KBytes       
[  4]  13.00-14.00  sec   445 KBytes  3.65 Mbits/sec    0    177 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  4]  15.00-16.00  sec   509 KBytes  4.17 Mbits/sec    0    242 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec    0    267 KBytes       
[  4]  17.00-18.01  sec  0.00 Bytes  0.00 bits/sec    0    267 KBytes       
[  4]  18.01-19.00  sec  0.00 Bytes  0.00 bits/sec    0    267 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec   17    199 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
[  4]  24.00-25.00  sec   382 KBytes  3.13 Mbits/sec    1    175 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   28    153 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    153 KBytes       
