Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   757 KBytes  6.20 Mbits/sec    0   59.4 KBytes       
[  4]   1.00-2.00   sec   573 KBytes  4.69 Mbits/sec    0   83.4 KBytes       
[  4]   2.00-3.00   sec   573 KBytes  4.69 Mbits/sec    0    106 KBytes       
[  4]   3.00-4.00   sec   573 KBytes  4.69 Mbits/sec    0    129 KBytes       
[  4]   4.00-5.00   sec   700 KBytes  5.73 Mbits/sec    0    156 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.25 Mbits/sec    0    185 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.26 Mbits/sec    0    216 KBytes       
[  4]   7.00-8.00   sec   954 KBytes  7.82 Mbits/sec    0    281 KBytes       
[  4]   8.00-9.00   sec  1.24 MBytes  10.4 Mbits/sec    0    383 KBytes       
[  4]   9.00-10.00  sec  1.30 MBytes  10.9 Mbits/sec    0    499 KBytes       
[  4]  10.00-11.00  sec  1.55 MBytes  13.0 Mbits/sec    0    653 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    810 KBytes       
[  4]  12.00-13.00  sec  2.11 MBytes  17.7 Mbits/sec    0   1007 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec   14   1.15 MBytes       
[  4]  14.00-15.00  sec   247 KBytes  2.03 Mbits/sec  150    854 KBytes       
[  4]  15.00-16.00  sec  1.24 MBytes  10.4 Mbits/sec   36    854 KBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0    888 KBytes       
[  4]  17.00-18.00  sec   693 KBytes  5.67 Mbits/sec    1    911 KBytes       
[  4]  18.00-19.00  sec   764 KBytes  6.26 Mbits/sec    0    912 KBytes       
[  4]  19.00-20.00  sec   764 KBytes  6.26 Mbits/sec    0    915 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    5    725 KBytes       
[  4]  21.00-22.00  sec   700 KBytes  5.73 Mbits/sec    1    641 KBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0    682 KBytes       
[  4]  23.00-24.00  sec  1011 KBytes  8.28 Mbits/sec    0    744 KBytes       
[  4]  24.00-25.00  sec   700 KBytes  5.74 Mbits/sec    0    799 KBytes       
[  4]  25.00-26.00  sec   700 KBytes  5.74 Mbits/sec    0    841 KBytes       
[  4]  26.00-27.00  sec   700 KBytes  5.73 Mbits/sec    0    872 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0    889 KBytes       
[  4]  28.00-29.00  sec   764 KBytes  6.26 Mbits/sec    0    904 KBytes       
[  4]  29.00-30.00  sec   827 KBytes  6.77 Mbits/sec    0    911 KBytes       
[  4]  30.00-31.00  sec   764 KBytes  6.26 Mbits/sec    0    913 KBytes       
[  4]  31.00-32.00  sec   700 KBytes  5.74 Mbits/sec    0    916 KBytes       
[  4]  32.00-33.00  sec   700 KBytes  5.73 Mbits/sec    0    922 KBytes       
[  4]  33.00-34.00  sec   700 KBytes  5.73 Mbits/sec    0    932 KBytes       
[  4]  34.00-35.01  sec   764 KBytes  6.22 Mbits/sec    0    954 KBytes       
[  4]  35.01-36.00  sec   127 KBytes  1.05 Mbits/sec   11    799 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec   22    675 KBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0    680 KBytes       
[  4]  38.00-39.00  sec  1.17 MBytes  9.85 Mbits/sec    0    728 KBytes       
[  4]  39.00-40.00  sec   573 KBytes  4.69 Mbits/sec    0    788 KBytes       
[  4]  40.00-41.00  sec   636 KBytes  5.21 Mbits/sec    0    837 KBytes       
[  4]  41.00-42.00  sec   636 KBytes  5.22 Mbits/sec    0    885 KBytes       
[  4]  42.00-43.00  sec   700 KBytes  5.73 Mbits/sec    0    918 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    8    816 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    648 KBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0    666 KBytes       
[  4]  46.00-47.00  sec  1.17 MBytes  9.84 Mbits/sec    0    701 KBytes       
[  4]  47.00-48.00  sec   636 KBytes  5.21 Mbits/sec    0    734 KBytes       
[  4]  48.00-49.00  sec   700 KBytes  5.73 Mbits/sec    0    759 KBytes       
[  4]  49.00-50.00  sec   700 KBytes  5.74 Mbits/sec    0    773 KBytes       
[  4]  50.00-51.01  sec   700 KBytes  5.70 Mbits/sec    0    782 KBytes       
[  4]  51.01-52.00  sec   700 KBytes  5.77 Mbits/sec    0    785 KBytes       
[  4]  52.00-53.00  sec   573 KBytes  4.69 Mbits/sec    0    786 KBytes       
[  4]  53.00-54.00  sec   636 KBytes  5.21 Mbits/sec    0    790 KBytes       
[  4]  54.00-55.00  sec   573 KBytes  4.69 Mbits/sec    0    798 KBytes       
[  4]  55.00-56.00  sec   764 KBytes  6.26 Mbits/sec    0    816 KBytes       
[  4]  56.00-57.00  sec   700 KBytes  5.73 Mbits/sec    0    850 KBytes       
[  4]  57.00-58.00  sec   636 KBytes  5.22 Mbits/sec    0    894 KBytes       
[  4]  58.00-59.00  sec   509 KBytes  4.17 Mbits/sec    0    945 KBytes       
[  4]  59.00-60.00  sec   255 KBytes  2.08 Mbits/sec   14    874 KBytes       
[  4]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec   48    687 KBytes       
[  4]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0    691 KBytes       
