Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-2.18   sec  82.0 KBytes   308 Kbits/sec    1   14.1 KBytes       
[  4]   2.18-2.18   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.18-3.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   3.00-4.00   sec  7.07 KBytes  57.9 Kbits/sec    1   17.0 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  4]   5.00-6.00   sec  4.24 KBytes  34.7 Kbits/sec    4   12.7 KBytes       
[  4]   6.00-7.00   sec  1.41 KBytes  11.6 Kbits/sec    0   12.7 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  4]   8.00-9.00   sec  1.41 KBytes  11.6 Kbits/sec    2   5.66 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  10.00-11.00  sec  2.83 KBytes  23.2 Kbits/sec    4   8.48 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  4]  12.00-13.00  sec  4.24 KBytes  34.8 Kbits/sec    0   12.7 KBytes       
[  4]  13.00-14.00  sec  5.66 KBytes  46.3 Kbits/sec    3   12.7 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  4]  15.00-16.00  sec  7.07 KBytes  57.9 Kbits/sec    1   11.3 KBytes       
[  4]  16.00-17.00  sec  4.24 KBytes  34.8 Kbits/sec    3   8.48 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  4]  18.00-19.00  sec  5.66 KBytes  46.4 Kbits/sec    1   8.48 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  4]  20.00-21.00  sec  5.66 KBytes  46.4 Kbits/sec    1   8.48 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  23.00-24.00  sec  65.0 KBytes   533 Kbits/sec    0   7.07 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  31.00-32.00  sec   262 KBytes  2.15 Mbits/sec    0   19.8 KBytes       
[  4]  32.00-33.00  sec   399 KBytes  3.27 Mbits/sec    0   29.7 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0   33.9 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec    0   38.2 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0   41.0 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0   43.8 KBytes       
[  4]  37.00-38.00  sec   255 KBytes  2.09 Mbits/sec    0   67.9 KBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0    109 KBytes       
[  4]  39.00-40.00  sec   445 KBytes  3.65 Mbits/sec    0    158 KBytes       
[  4]  40.00-41.00  sec   573 KBytes  4.69 Mbits/sec    0    228 KBytes       
[  4]  41.00-42.00  sec   573 KBytes  4.69 Mbits/sec    0    296 KBytes       
[  4]  42.00-43.00  sec   827 KBytes  6.78 Mbits/sec    0    407 KBytes       
[  4]  43.00-44.00  sec   891 KBytes  7.27 Mbits/sec   24    469 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   86    369 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    8    369 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec   39    361 KBytes       
[  4]  47.00-48.00  sec   255 KBytes  2.09 Mbits/sec   36    257 KBytes       
[  4]  48.00-49.00  sec   891 KBytes  7.29 Mbits/sec    3   35.4 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec    0    273 KBytes       
[  4]  50.00-51.00  sec   255 KBytes  2.09 Mbits/sec    0    288 KBytes       
[  4]  51.00-52.00  sec   255 KBytes  2.09 Mbits/sec    0    300 KBytes       
[  4]  52.00-53.00  sec   255 KBytes  2.08 Mbits/sec    0    307 KBytes       
[  4]  53.00-54.00  sec   382 KBytes  3.13 Mbits/sec    0    311 KBytes       
[  4]  54.00-55.00  sec   318 KBytes  2.61 Mbits/sec    0    313 KBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec    0    315 KBytes       
[  4]  56.00-57.00  sec   318 KBytes  2.60 Mbits/sec    0    324 KBytes       
[  4]  57.00-58.00  sec   255 KBytes  2.09 Mbits/sec    0    339 KBytes       
[  4]  58.00-59.00  sec   191 KBytes  1.56 Mbits/sec    0    358 KBytes       
[  4]  59.00-60.00  sec   191 KBytes  1.56 Mbits/sec    0    380 KBytes       
[  4]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec   53    267 KBytes       
[  4]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    6    267 KBytes       
[  4]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec   41    232 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   67    267 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec  106    209 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    2    218 KBytes       
[  4]  66.00-67.00  sec  63.6 KBytes   521 Kbits/sec    0    267 KBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec   93    205 KBytes       
[  4]  68.00-69.00  sec  63.6 KBytes   521 Kbits/sec    9    267 KBytes       
[  4]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec   72    153 KBytes       
[  4]  70.00-71.00  sec  63.6 KBytes   522 Kbits/sec   88    167 KBytes       
[  4]  71.00-72.00  sec   509 KBytes  4.17 Mbits/sec    0    202 KBytes       
[  4]  72.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0    202 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-72.00  sec  10.2 MBytes  1.19 Mbits/sec  758             sender
[  4]   0.00-72.00  sec  7.36 MBytes   858 Kbits/sec                  receiver

iperf Done.
