Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0    619 KBytes       
[  4]  58.00-59.00  sec   791 KBytes  6.48 Mbits/sec    0    641 KBytes       
[  4]  59.00-60.00  sec   636 KBytes  5.21 Mbits/sec    0    652 KBytes       
[  4]  60.00-61.00  sec   636 KBytes  5.21 Mbits/sec    0    656 KBytes       
[  4]  61.00-62.00  sec   509 KBytes  4.17 Mbits/sec    0    658 KBytes       
[  4]  62.00-63.00  sec   445 KBytes  3.65 Mbits/sec    0    659 KBytes       
[  4]  63.00-64.00  sec   509 KBytes  4.17 Mbits/sec    0    665 KBytes       
[  4]  64.00-65.00  sec   509 KBytes  4.17 Mbits/sec    0    673 KBytes       
[  4]  65.00-66.00  sec   636 KBytes  5.21 Mbits/sec    0    693 KBytes       
[  4]  66.00-67.00  sec   700 KBytes  5.73 Mbits/sec    0    730 KBytes       
[  4]  67.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0    730 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-67.00  sec  50.5 MBytes  6.33 Mbits/sec  1667             sender
[  4]   0.00-67.00  sec  38.7 MBytes  4.85 Mbits/sec                  receiver

iperf Done.
