Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   286 KBytes  2.34 Mbits/sec    0   21.2 KBytes       
[  4]   1.00-2.00   sec   202 KBytes  1.66 Mbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   33.9 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   65.0 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0   99.0 KBytes       
[  4]   6.00-7.00   sec   573 KBytes  4.69 Mbits/sec    0    163 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    216 KBytes       
[  4]   8.00-9.00   sec   318 KBytes  2.61 Mbits/sec    0    256 KBytes       
[  4]   9.00-10.00  sec   827 KBytes  6.78 Mbits/sec    0    366 KBytes       
[  4]  10.00-11.00  sec   191 KBytes  1.56 Mbits/sec    0    390 KBytes       
[  4]  11.00-12.00  sec  1.18 MBytes  9.91 Mbits/sec    0    547 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   11    525 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   58    393 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   59    383 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  105    298 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec   35    171 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0    171 KBytes       
[  4]  18.00-19.00  sec   382 KBytes  3.13 Mbits/sec   34    173 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    267 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    273 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    274 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.09 Mbits/sec    0    301 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    301 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    315 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.60 Mbits/sec    0    322 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    324 KBytes       
[  4]  29.00-30.00  sec   318 KBytes  2.61 Mbits/sec    0    341 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    344 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   522 Kbits/sec    4    325 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   11    246 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    246 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.60 Mbits/sec    7    246 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec   15    184 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    2    171 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   12    171 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   14    171 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    171 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec   15    171 KBytes       
[  4]  41.00-42.01  sec  0.00 Bytes  0.00 bits/sec   16    171 KBytes       
[  4]  42.01-43.00  sec  0.00 Bytes  0.00 bits/sec    0    171 KBytes       
[  4]  43.00-44.00  sec   764 KBytes  6.25 Mbits/sec    0    130 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.57 Mbits/sec    0    123 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    134 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    143 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    143 KBytes       
[  4]  49.00-50.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    0    150 KBytes       
[  4]  51.00-52.01  sec   255 KBytes  2.07 Mbits/sec    0    173 KBytes       
[  4]  52.01-52.01  sec  0.00 Bytes  0.00 bits/sec    0    173 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-52.01  sec  10.0 MBytes  1.62 Mbits/sec  398             sender
[  4]   0.00-52.01  sec  7.10 MBytes  1.15 Mbits/sec                  receiver

iperf Done.
