Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  65.00-66.01  sec  1.25 MBytes  10.4 Mbits/sec    0    437 KBytes       
[  4]  66.01-67.00  sec   629 KBytes  5.20 Mbits/sec  103    413 KBytes       
[  4]  67.00-68.00  sec   954 KBytes  7.85 Mbits/sec   10    291 KBytes       
[  4]  68.00-69.00  sec   509 KBytes  4.17 Mbits/sec   33    209 KBytes       
[  4]  69.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0    209 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-69.00  sec  60.3 MBytes  7.33 Mbits/sec  787             sender
[  4]   0.00-69.00  sec  48.0 MBytes  5.83 Mbits/sec                  receiver

iperf Done.
