Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   290 KBytes  2.37 Mbits/sec    0   21.2 KBytes       
[  4]   1.00-2.00   sec   199 KBytes  1.63 Mbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   35.4 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   43.8 KBytes       
[  4]   4.00-5.00   sec   318 KBytes  2.61 Mbits/sec    0   70.7 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    110 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    150 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    209 KBytes       
[  4]   8.00-9.00   sec   573 KBytes  4.69 Mbits/sec    0    287 KBytes       
[  4]   9.00-10.00  sec   445 KBytes  3.65 Mbits/sec    0    346 KBytes       
[  4]  10.00-11.00  sec   636 KBytes  5.21 Mbits/sec    0    430 KBytes       
[  4]  11.00-12.00  sec   191 KBytes  1.56 Mbits/sec    0    458 KBytes       
[  4]  12.00-13.00  sec   255 KBytes  2.09 Mbits/sec   70    346 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   18    346 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec   56    342 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   55    267 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec   55    288 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.57 Mbits/sec   58   91.9 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.08 Mbits/sec    0    171 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    4    136 KBytes       
[  4]  20.00-21.00  sec   700 KBytes  5.73 Mbits/sec    0    246 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    246 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    272 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    272 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec    0    286 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    286 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.09 Mbits/sec    0    291 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    291 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0    310 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    310 KBytes       
[  4]  30.00-31.00  sec   255 KBytes  2.09 Mbits/sec    0    365 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    366 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   20    313 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec   20    263 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec   12    263 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec   21    263 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec   50    214 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec   19    184 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec   12    184 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec    1    184 KBytes       
[  4]  40.00-41.00  sec   573 KBytes  4.69 Mbits/sec    0    188 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0    189 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    206 KBytes       
[  4]  43.00-44.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    221 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    222 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0    223 KBytes       
[  4]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    0    229 KBytes       
[  4]  48.00-49.00  sec   255 KBytes  2.09 Mbits/sec    0    242 KBytes       
[  4]  49.00-50.00  sec   191 KBytes  1.56 Mbits/sec    0    269 KBytes       
[  4]  50.00-51.00  sec   255 KBytes  2.09 Mbits/sec    0    313 KBytes       
[  4]  51.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0    313 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-51.00  sec  10.0 MBytes  1.65 Mbits/sec  471             sender
[  4]   0.00-51.00  sec  7.60 MBytes  1.25 Mbits/sec                  receiver

iperf Done.
