Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   451 KBytes  3.69 Mbits/sec    0   26.9 KBytes       
[  4]   1.00-2.00   sec   382 KBytes  3.13 Mbits/sec    0   41.0 KBytes       
[  4]   2.00-3.00   sec   382 KBytes  3.13 Mbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec   382 KBytes  3.13 Mbits/sec    0   70.7 KBytes       
[  4]   4.00-5.00   sec   318 KBytes  2.61 Mbits/sec    0   84.8 KBytes       
[  4]   5.00-6.00   sec   509 KBytes  4.17 Mbits/sec    0    117 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    174 KBytes       
[  4]   7.00-8.00   sec   891 KBytes  7.30 Mbits/sec    0    253 KBytes       
[  4]   8.00-9.00   sec  1018 KBytes  8.34 Mbits/sec    0    351 KBytes       
[  4]   9.00-10.00  sec  1.24 MBytes  10.4 Mbits/sec    0    478 KBytes       
[  4]  10.00-11.00  sec  1.24 MBytes  10.4 Mbits/sec    0    618 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    783 KBytes       
[  4]  12.00-13.00  sec  1.11 MBytes  9.33 Mbits/sec   32    810 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec  113    626 KBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0    631 KBytes       
[  4]  15.00-16.01  sec   693 KBytes  5.65 Mbits/sec    0    660 KBytes       
[  4]  16.01-17.00  sec   573 KBytes  4.72 Mbits/sec    0    727 KBytes       
[  4]  17.00-18.00  sec   636 KBytes  5.21 Mbits/sec    2    775 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   67    547 KBytes       
[  4]  19.00-20.00  sec   636 KBytes  5.21 Mbits/sec    8    547 KBytes       
[  4]  20.00-21.00  sec  1.18 MBytes  9.91 Mbits/sec    0    568 KBytes       
[  4]  21.00-22.00  sec   573 KBytes  4.69 Mbits/sec    0    601 KBytes       
[  4]  22.00-23.00  sec   509 KBytes  4.17 Mbits/sec    0    626 KBytes       
[  4]  23.00-24.00  sec   445 KBytes  3.65 Mbits/sec    0    642 KBytes       
[  4]  24.00-25.00  sec   509 KBytes  4.17 Mbits/sec    0    653 KBytes       
[  4]  25.00-26.00  sec   509 KBytes  4.17 Mbits/sec    0    660 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   22    461 KBytes       
[  4]  27.00-28.00  sec   573 KBytes  4.69 Mbits/sec    1    461 KBytes       
[  4]  28.00-29.00  sec  1.06 MBytes  8.86 Mbits/sec    0    478 KBytes       
[  4]  29.00-30.00  sec   509 KBytes  4.17 Mbits/sec    0    506 KBytes       
[  4]  30.00-31.00  sec   509 KBytes  4.17 Mbits/sec    0    529 KBytes       
[  4]  31.00-32.00  sec   509 KBytes  4.17 Mbits/sec    0    546 KBytes       
