Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.02   sec   158 KBytes  1.27 Mbits/sec    0   33.9 KBytes       
[  4]   1.02-2.02   sec   198 KBytes  1.63 Mbits/sec    0   45.2 KBytes       
[  4]   2.02-3.02   sec  63.6 KBytes   518 Kbits/sec    0   46.7 KBytes       
[  4]   3.02-4.01   sec  63.6 KBytes   528 Kbits/sec    0   53.7 KBytes       
[  4]   4.01-5.00   sec   255 KBytes  2.10 Mbits/sec    0   73.5 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   96.2 KBytes       
[  4]   6.00-7.00   sec  63.6 KBytes   520 Kbits/sec    0    105 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   24   72.1 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0   73.5 KBytes       
[  4]   9.00-10.00  sec   255 KBytes  2.09 Mbits/sec    0   91.9 KBytes       
[  4]  10.00-11.00  sec   191 KBytes  1.56 Mbits/sec    0    100 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0    103 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0    105 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    0    106 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    107 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0    117 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0    127 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    5   99.0 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    4   89.1 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    2   93.3 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    1   66.5 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    1   66.5 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0   67.9 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   522 Kbits/sec    0   72.1 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    5   59.4 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    3   52.3 KBytes       
[  4]  28.00-29.00  sec   127 KBytes  1.04 Mbits/sec    2   45.2 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   35.4 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0   42.4 KBytes       
