Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-2.88   sec  82.0 KBytes   233 Kbits/sec    1   14.1 KBytes       
[  4]   2.88-2.88   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.88-3.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   3.00-4.01   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   4.01-5.01   sec  4.24 KBytes  34.7 Kbits/sec    1   12.7 KBytes       
[  4]   5.01-6.00   sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  4]   7.00-8.00   sec  4.24 KBytes  34.8 Kbits/sec    5   9.90 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]   9.00-10.00  sec  8.48 KBytes  69.4 Kbits/sec    1   9.90 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  11.00-12.00  sec  8.48 KBytes  69.5 Kbits/sec    1   9.90 KBytes       
[  4]  12.00-13.00  sec  2.83 KBytes  23.2 Kbits/sec    1   9.90 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  14.00-15.00  sec  4.24 KBytes  34.7 Kbits/sec    2   5.66 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  16.00-17.01  sec  4.24 KBytes  34.5 Kbits/sec    2   5.66 KBytes       
[  4]  17.01-18.00  sec  4.24 KBytes  35.0 Kbits/sec    0   7.07 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  4]  19.00-20.00  sec  5.66 KBytes  46.3 Kbits/sec    1   4.24 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  4]  21.00-22.00  sec  2.83 KBytes  23.2 Kbits/sec    0   4.24 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    0   5.66 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
