Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   419 KBytes  3.43 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec   255 KBytes  2.08 Mbits/sec    0   66.5 KBytes       
[  4]   2.00-3.00   sec   255 KBytes  2.09 Mbits/sec    0   76.4 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   84.8 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   93.3 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    119 KBytes       
[  4]   6.00-7.00   sec   573 KBytes  4.69 Mbits/sec    0    171 KBytes       
[  4]   7.00-8.00   sec   764 KBytes  6.26 Mbits/sec    0    250 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.73 Mbits/sec    0    322 KBytes       
[  4]   9.00-10.00  sec   827 KBytes  6.78 Mbits/sec    0    411 KBytes       
[  4]  10.00-11.00  sec  1018 KBytes  8.34 Mbits/sec    0    533 KBytes       
[  4]  11.00-12.00  sec  1.49 MBytes  12.5 Mbits/sec    0    711 KBytes       
[  4]  12.00-13.00  sec  1.24 MBytes  10.4 Mbits/sec    0    881 KBytes       
[  4]  13.00-14.00  sec  1018 KBytes  8.34 Mbits/sec    0    998 KBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[  4]  16.00-17.00  sec  1.17 MBytes  9.79 Mbits/sec   51   1.34 MBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  243   1.02 MBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   30   1.01 MBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  264    959 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec  216    789 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec   26    679 KBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec   75    431 KBytes       
[  4]  23.00-24.00  sec   947 KBytes  7.76 Mbits/sec    7    533 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    697 KBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0    741 KBytes       
[  4]  26.00-27.00  sec   756 KBytes  6.20 Mbits/sec    0    764 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0    802 KBytes       
[  4]  28.00-29.00  sec   445 KBytes  3.65 Mbits/sec    0    831 KBytes       
[  4]  29.00-30.00  sec   382 KBytes  3.13 Mbits/sec    0    850 KBytes       
[  4]  30.00-31.00  sec   573 KBytes  4.69 Mbits/sec    0    865 KBytes       
[  4]  31.00-32.00  sec   318 KBytes  2.61 Mbits/sec    0    871 KBytes       
[  4]  32.00-33.00  sec   573 KBytes  4.69 Mbits/sec    0    877 KBytes       
[  4]  33.00-34.00  sec   255 KBytes  2.08 Mbits/sec    0    881 KBytes       
[  4]  34.00-35.00  sec   573 KBytes  4.69 Mbits/sec    0    889 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.61 Mbits/sec    0    898 KBytes       
[  4]  36.00-37.00  sec   509 KBytes  4.17 Mbits/sec    0    925 KBytes       
[  4]  37.00-38.00  sec   382 KBytes  3.13 Mbits/sec    0    947 KBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0   1001 KBytes       
[  4]  39.00-40.00  sec   445 KBytes  3.65 Mbits/sec    0   1.03 MBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    0   1.10 MBytes       
