Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec   13   18.4 KBytes       
[  4]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec   37   52.3 KBytes       
[  4]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec  658    773 KBytes       
[  4]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0    836 KBytes       
[  4]  71.00-72.00  sec  1.17 MBytes  9.80 Mbits/sec    0    882 KBytes       
[  4]  72.00-73.00  sec   954 KBytes  7.82 Mbits/sec    0    930 KBytes       
[  4]  73.00-74.02  sec   827 KBytes  6.63 Mbits/sec    0    971 KBytes       
[  4]  74.02-75.00  sec   700 KBytes  5.86 Mbits/sec    0   1010 KBytes       
[  4]  75.00-76.00  sec   891 KBytes  7.30 Mbits/sec    0   1.03 MBytes       
[  4]  76.00-77.00  sec   954 KBytes  7.82 Mbits/sec    0   1.08 MBytes       
[  4]  77.00-78.00  sec   764 KBytes  6.26 Mbits/sec    0   1.12 MBytes       
[  4]  78.00-79.00  sec   954 KBytes  7.82 Mbits/sec    0   1.17 MBytes       
[  4]  79.00-80.00  sec   764 KBytes  6.25 Mbits/sec    0   1.27 MBytes       
[  4]  80.00-81.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.45 MBytes       
[  4]  81.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   1.45 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-81.00  sec  50.0 MBytes  5.18 Mbits/sec  2208             sender
[  4]   0.00-81.00  sec  41.8 MBytes  4.33 Mbits/sec                  receiver

iperf Done.
