Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
46110, 347.0, 201.0, 4.86, 8282.0, 2
5201, 352.25, 192.0, 4.58, -1, 4
46112, 416.01, 200.0, 4.04, 12368.0, 1
46112, 305.0, 201.0, 5.52, 9237.0, 0
46110, 372.0, 200.0, 4.52, 1797.0, 3
46110, 317.0, 201.0, 5.32, 12692.0, 1
46112, 398.0, 201.0, 4.24, 4016.0, 2
46112, 355.0, 201.0, 4.74, 2662.0, 3
46110, 229.0, 201.0, 7.36, 7126.0, 0
5202, 286.99, 192.0, 5.6, -1, 4
5202, 307.08, 191.0, 5.23, -1, 0
46110, 351.0, 201.0, 4.8, 2682.0, 4
5201, 348.52, 191.0, 4.61, -1, 2
5201, 373.12, 195.0, 4.39, -1, 3
5202, 417.27, 188.0, 3.77, -1, 1
5202, 355.96, 191.0, 4.49, -1, 3
5201, 319.25, 192.0, 5.04, -1, 1
46112, 285.42, 200.0, 5.89, 3313.0, 4
5201, 231.4, 188.0, 6.8, -1, 0
5202, 399.06, 193.0, 4.07, -1, 2
