Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    4    191 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   16    140 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    8    140 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0    147 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    0    168 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   17    119 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.05 Mbits/sec    4    119 KBytes       
[  4]  33.00-34.00  sec   255 KBytes  2.08 Mbits/sec    0    126 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0    136 KBytes       
[  4]  35.00-36.00  sec  63.6 KBytes   521 Kbits/sec    0    140 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0    141 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    0    143 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    147 KBytes       
[  4]  39.00-40.00  sec   127 KBytes  1.04 Mbits/sec    0    154 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0    168 KBytes       
[  4]  41.00-42.00  sec   191 KBytes  1.56 Mbits/sec    0    194 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    233 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec   16    198 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec   10    177 KBytes       
[  4]  45.00-46.00  sec   318 KBytes  2.61 Mbits/sec    0    187 KBytes       
[  4]  46.00-47.00  sec   255 KBytes  2.09 Mbits/sec    0    208 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    223 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.56 Mbits/sec    0    239 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    8    175 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    1    167 KBytes       
[  4]  51.00-52.00  sec   445 KBytes  3.65 Mbits/sec    0    178 KBytes       
[  4]  52.00-53.00  sec   127 KBytes  1.04 Mbits/sec    0    189 KBytes       
[  4]  53.00-54.00  sec   191 KBytes  1.56 Mbits/sec    0    198 KBytes       
[  4]  54.00-55.00  sec   191 KBytes  1.56 Mbits/sec    0    201 KBytes       
[  4]  55.00-56.00  sec   255 KBytes  2.09 Mbits/sec    0    202 KBytes       
[  4]  56.00-57.00  sec   191 KBytes  1.56 Mbits/sec    0    205 KBytes       
[  4]  57.00-58.00  sec   318 KBytes  2.61 Mbits/sec    0    214 KBytes       
[  4]  58.00-59.00  sec   191 KBytes  1.57 Mbits/sec    0    226 KBytes       
[  4]  59.00-60.00  sec   255 KBytes  2.08 Mbits/sec    0    256 KBytes       
[  4]  60.00-60.68  sec   636 KBytes  7.73 Mbits/sec    0    291 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.68  sec  10.5 MBytes  1.45 Mbits/sec  137             sender
[  4]   0.00-60.68  sec  9.16 MBytes  1.27 Mbits/sec                  receiver

iperf Done.
