Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5202, 27.91, 9.95, 2.99, -1, 4
5201, 33.08, 9.99, 2.53, -1, 0
46110, 16.8, 10.0, 5.0, 0.0, 3
46110, 11.72, 10.1, 7.21, 0.0, 2
5201, 24.13, 9.96, 3.46, -1, 1
5201, 16.92, 9.94, 4.93, -1, 3
46110, 32.97, 10.1, 2.56, 21.0, 0
46110, 23.33, 10.0, 3.6, 1.0, 1
5201, 11.77, 10.0, 7.14, -1, 2
5202, 12.48, 9.97, 6.71, -1, 2
46110, 17.45, 10.1, 4.84, 1.0, 4
5202, 17.31, 10.0, 4.84, -1, 3
5202, 34.4, 9.97, 2.43, -1, 1
5201, 17.64, 10.1, 4.79, -1, 4
5202, 31.98, 10.0, 2.62, -1, 0
46112, 31.92, 10.1, 2.65, 0.0, 0
46112, 33.57, 10.0, 2.51, 1.0, 1
46112, 17.24, 10.1, 4.9, 1.0, 3
46112, 12.43, 10.1, 6.8, 0.0, 2
46112, 27.9, 10.0, 3.01, 1.0, 4
