switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,2,1,800,1,2,1,28654,1631281172,0,5,0,1
6,2,1,800,1,2,3,28655,1631281246,0,5,0,1
5,2,1,800,1,2,2,138433,7898479738,2,5,0,1
1,2,1,800,1,2,1,138432,7898479664,2,5,0,1
6,2,1,800,1,2,3,138433,7898479738,2,5,0,1
5,2,1,800,1,2,2,250238,14281423956,4,5,0,1
1,2,1,800,1,2,1,250237,14281423882,4,5,0,1
6,2,1,800,1,2,3,250238,14281423956,4,5,0,1
5,2,1,800,1,2,2,360816,20594173312,6,5,0,1
1,2,1,800,1,2,1,360815,20594173238,6,5,0,1
6,2,1,800,1,2,3,360816,20594173312,6,5,0,1
5,2,1,800,1,2,2,475261,27127452354,8,5,0,1
1,2,1,800,1,2,1,475260,27127452280,8,5,0,1
6,2,1,800,1,2,3,475261,27127452354,8,5,0,1
5,2,1,800,1,2,2,588993,33620141426,10,5,0,1
1,2,1,800,1,2,1,588992,33620141352,10,5,0,1
6,2,1,800,1,2,3,588993,33620141426,10,5,0,1
5,2,1,800,1,2,2,700556,39988762080,12,5,0,1
1,2,1,800,1,2,1,700555,39988762006,12,5,0,1
6,2,1,800,1,2,3,700556,39988762080,12,5,0,1
5,2,1,800,1,2,2,808596,46156701440,14,5,0,1
1,2,1,800,1,2,1,808595,46156701366,14,5,0,1
6,2,1,800,1,2,3,808596,46156701440,14,5,0,1
5,2,1,800,1,2,2,917507,52374030286,16,5,0,1
1,2,1,800,1,2,1,917506,52374030212,16,5,0,1
6,2,1,800,1,2,3,917507,52374030286,16,5,0,1
5,2,1,800,1,2,2,1029971,58794237710,18,5,0,1
1,2,1,800,1,2,1,1029970,58794237636,18,5,0,1
6,2,1,800,1,2,3,1029971,58794237710,18,5,0,1
5,2,1,800,1,2,2,1141509,65161333722,20,5,0,1
1,2,1,800,1,2,1,1141508,65161333648,20,5,0,1
6,2,1,800,1,2,3,1141509,65161333722,20,5,0,1
5,2,1,800,1,2,2,1249268,71312838336,22,5,0,1
1,2,1,800,1,2,1,1249267,71312838262,22,5,0,1
6,2,1,800,1,2,3,1249268,71312838336,22,5,0,1
5,2,1,800,1,2,2,1364658,77899804708,24,5,0,1
1,2,1,800,1,2,1,1364657,77899804634,24,5,0,1
6,2,1,800,1,2,3,1364658,77899804708,24,5,0,1
5,2,1,800,1,2,2,1478651,84407298886,26,5,0,1
1,2,1,800,1,2,1,1478650,84407298812,26,5,0,1
6,2,1,800,1,2,3,1478651,84407298886,26,5,0,1
5,2,1,800,1,2,2,1588910,90701376316,28,5,0,1
1,2,1,800,1,2,1,1588909,90701376242,28,5,0,1
6,2,1,800,1,2,3,1588910,90701376316,28,5,0,1
