switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
2,4,3,800,3,4,1,12281,701529514,1,5,0,1
3,4,3,800,3,4,2,12282,701529588,1,5,0,1
4,4,3,800,3,4,2,75024,4284949904,3,5,0,1
2,4,3,800,3,4,1,75023,4284949830,3,5,0,1
3,4,3,800,3,4,2,75024,4284949904,3,5,0,1
4,4,3,800,3,4,2,138520,7911059240,5,5,0,1
2,4,3,800,3,4,1,138519,7911059166,5,5,0,1
3,4,3,800,3,4,2,138520,7911059240,5,5,0,1
4,4,3,800,3,4,2,201672,11518017480,7,5,0,1
2,4,3,800,3,4,1,201671,11518017406,7,5,0,1
3,4,3,800,3,4,2,201672,11518017480,7,5,0,1
4,4,3,800,3,4,2,265371,15155673534,9,5,0,1
2,4,3,800,3,4,1,265370,15155673460,9,5,0,1
3,4,3,800,3,4,2,265371,15155673534,9,5,0,1
4,4,3,800,3,4,2,329653,18827418098,11,5,0,1
2,4,3,800,3,4,1,329652,18827418024,11,5,0,1
3,4,3,800,3,4,2,329653,18827418098,11,5,0,1
4,4,3,800,3,4,2,395204,22571537504,13,5,0,1
2,4,3,800,3,4,1,395203,22571537430,13,5,0,1
3,4,3,800,3,4,2,395204,22571537504,13,5,0,1
4,4,3,800,3,4,2,458666,26196032428,15,5,0,1
2,4,3,800,3,4,1,458665,26196032354,15,5,0,1
3,4,3,800,3,4,2,458666,26196032428,15,5,0,1
4,4,3,800,3,4,2,522739,29855093430,17,5,0,1
2,4,3,800,3,4,1,522738,29855093356,17,5,0,1
3,4,3,800,3,4,2,522739,29855093430,17,5,0,1
4,4,3,800,3,4,2,581067,33186729438,19,5,0,1
2,4,3,800,3,4,1,581066,33186729364,19,5,0,1
3,4,3,800,3,4,2,581067,33186729438,19,5,0,1
4,4,3,800,3,4,2,677650,38703074060,21,5,0,1
2,4,3,800,3,4,1,677649,38703073986,21,5,0,1
3,4,3,800,3,4,2,677650,38703074060,21,5,0,1
4,4,3,800,3,4,2,742080,42382900368,23,5,0,1
2,4,3,800,3,4,1,742079,42382900294,23,5,0,1
3,4,3,800,3,4,2,742080,42382900368,23,5,0,1
4,4,3,800,3,4,2,808101,46153363194,25,5,0,1
2,4,3,800,3,4,1,808100,46153363120,25,5,0,1
3,4,3,800,3,4,2,808101,46153363194,25,5,0,1
4,4,3,800,3,4,2,874098,49922158052,27,5,0,1
2,4,3,800,3,4,1,874097,49922157978,27,5,0,1
3,4,3,800,3,4,2,874098,49922158052,27,5,0,1
4,4,3,800,3,4,2,938811,53618509918,29,5,0,1
