switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,1,2,800,2,1,3,22646,1288103220,1,5,0,1
6,1,2,800,2,1,1,22645,1288103146,1,5,0,1
5,1,2,800,2,1,5,134656,7682654600,3,5,0,1
1,1,2,800,2,1,3,134656,7682654600,3,5,0,1
6,1,2,800,2,1,1,134655,7682654526,3,5,0,1
5,1,2,800,2,1,5,247156,14104568464,5,5,0,1
1,1,2,800,2,1,3,247156,14104568464,5,5,0,1
6,1,2,800,2,1,1,247155,14104568390,5,5,0,1
5,1,2,800,2,1,5,357786,20419471532,7,5,0,1
1,1,2,800,2,1,3,357786,20419471532,7,5,0,1
6,1,2,800,2,1,1,357785,20419471458,7,5,0,1
5,1,2,800,2,1,5,458359,26161655638,9,5,0,1
1,1,2,800,2,1,3,458359,26161655638,9,5,0,1
6,1,2,800,2,1,1,458358,26161655564,9,5,0,1
5,1,2,800,2,1,5,531324,30329201992,11,5,0,1
1,1,2,800,2,1,3,531324,30329201992,11,5,0,1
6,1,2,800,2,1,1,531323,30329201918,11,5,0,1
5,1,2,800,2,1,5,597299,34096676662,13,5,0,1
1,1,2,800,2,1,3,597299,34096676662,13,5,0,1
6,1,2,800,2,1,1,597298,34096676588,13,5,0,1
5,1,2,800,2,1,5,658806,37618130804,15,5,0,1
1,1,2,800,2,1,3,658806,37618130804,15,5,0,1
6,1,2,800,2,1,1,658805,37618130730,15,5,0,1
5,1,2,800,2,1,5,751364,42903378304,17,5,0,1
1,1,2,800,2,1,3,751364,42903378304,17,5,0,1
6,1,2,800,2,1,1,751363,42903378230,17,5,0,1
5,1,2,800,2,1,5,865067,49394036270,19,5,0,1
1,1,2,800,2,1,3,865067,49394036270,19,5,0,1
6,1,2,800,2,1,1,865066,49394036196,19,5,0,1
5,1,2,800,2,1,5,972740,55541144872,21,5,0,1
1,1,2,800,2,1,3,972740,55541144872,21,5,0,1
6,1,2,800,2,1,1,972739,55541144798,21,5,0,1
5,1,2,800,2,1,5,1088067,62124276182,23,5,0,1
1,1,2,800,2,1,3,1088067,62124276182,23,5,0,1
6,1,2,800,2,1,1,1088066,62124276108,23,5,0,1
5,1,2,800,2,1,5,1203152,68694334168,25,5,0,1
1,1,2,800,2,1,3,1203152,68694334168,25,5,0,1
6,1,2,800,2,1,1,1203151,68694334094,25,5,0,1
5,1,2,800,2,1,5,1313134,74974883452,27,5,0,1
1,1,2,800,2,1,3,1313134,74974883452,27,5,0,1
6,1,2,800,2,1,1,1313133,74974883378,27,5,0,1
5,1,2,800,2,1,5,1403383,80128985582,29,5,0,1
1,1,2,800,2,1,3,1403383,80128985582,29,5,0,1
6,1,2,800,2,1,1,1403382,80128985508,29,5,0,1
5,1,2,800,2,1,5,1516024,86559639832,31,5,0,1
1,1,2,800,2,1,3,1516024,86559639832,31,5,0,1
6,1,2,800,2,1,1,1516023,86559639758,31,5,0,1
5,1,2,800,2,1,5,1628377,92973920282,33,5,0,1
1,1,2,800,2,1,3,1628377,92973920282,33,5,0,1
6,1,2,800,2,1,1,1628376,92973920208,33,5,0,1
5,1,2,800,2,1,5,1734572,99038653696,35,5,0,1
1,1,2,800,2,1,3,1734572,99038653696,35,5,0,1
6,1,2,800,2,1,1,1734571,99038653622,35,5,0,1
5,1,2,800,2,1,5,1806911,103171180454,37,5,0,1
1,1,2,800,2,1,3,1806911,103171180454,37,5,0,1
6,1,2,800,2,1,1,1806910,103171180380,37,5,0,1
5,1,2,800,2,1,5,1908273,108958144754,39,5,0,1
1,1,2,800,2,1,3,1908273,108958144754,39,5,0,1
6,1,2,800,2,1,1,1908272,108958144680,39,5,0,1
5,1,2,800,2,1,5,1976334,112852347604,41,5,0,1
1,1,2,800,2,1,3,1976334,112852347604,41,5,0,1
6,1,2,800,2,1,1,1976333,112852347530,41,5,0,1
5,1,2,800,2,1,5,2051669,117157830994,43,5,0,1
1,1,2,800,2,1,3,2051669,117157830994,43,5,0,1
6,1,2,800,2,1,1,2051668,117157830920,43,5,0,1
5,1,2,800,2,1,5,2141724,122300858704,45,5,0,1
1,1,2,800,2,1,3,2141724,122300858704,45,5,0,1
6,1,2,800,2,1,1,2141723,122300858630,45,5,0,1
5,1,2,800,2,1,5,2235034,127628508164,47,5,0,1
1,1,2,800,2,1,3,2235034,127628508164,47,5,0,1
6,1,2,800,2,1,1,2235033,127628508090,47,5,0,1
5,1,2,800,2,1,5,2349460,134160660576,49,5,0,1
1,1,2,800,2,1,3,2349460,134160660576,49,5,0,1
6,1,2,800,2,1,1,2349459,134160660502,49,5,0,1
5,1,2,800,2,1,5,2513087,143502274854,51,5,0,1
1,1,2,800,2,1,3,2513087,143502274854,51,5,0,1
6,1,2,800,2,1,1,2513086,143502274780,51,5,0,1
5,1,2,800,2,1,5,2628087,150067270102,53,5,0,1
1,1,2,800,2,1,3,2628087,150067270102,53,5,0,1
6,1,2,800,2,1,1,2628086,150067270028,53,5,0,1
5,1,2,800,2,1,5,2744877,156734383162,55,5,0,1
1,1,2,800,2,1,3,2744877,156734383162,55,5,0,1
6,1,2,800,2,1,1,2744876,156734383088,55,5,0,1
5,1,2,800,2,1,5,2859456,163275326688,57,5,0,1
1,1,2,800,2,1,3,2859456,163275326688,57,5,0,1
6,1,2,800,2,1,1,2859455,163275326614,57,5,0,1
5,1,2,800,2,1,5,2974339,169833790990,59,5,0,1
