switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,3,1,800,1,3,1,41566,2372156588,1,5,0,1
2,3,1,800,1,3,2,107512,6138778240,3,5,0,1
1,3,1,800,1,3,1,107511,6138778166,3,5,0,1
2,3,1,800,1,3,2,174340,9956352088,5,5,0,1
1,3,1,800,1,3,1,174339,9956352014,5,5,0,1
2,3,1,800,1,3,2,240950,13760855020,7,5,0,1
1,3,1,800,1,3,1,240949,13760854946,7,5,0,1
2,3,1,800,1,3,2,308050,17593287284,9,5,0,1
1,3,1,800,1,3,1,308049,17593287210,9,5,0,1
2,3,1,800,1,3,2,375391,21440391886,11,5,0,1
1,3,1,800,1,3,1,375390,21440391812,11,5,0,1
2,3,1,800,1,3,2,443885,25351775770,13,5,0,1
1,3,1,800,1,3,1,443884,25351775696,13,5,0,1
2,3,1,800,1,3,2,513228,29312578320,15,5,0,1
1,3,1,800,1,3,1,513227,29312578246,15,5,0,1
2,3,1,800,1,3,2,578978,33068212412,17,5,0,1
1,3,1,800,1,3,1,578977,33068212338,17,5,0,1
2,3,1,800,1,3,2,645579,36872119446,19,5,0,1
1,3,1,800,1,3,1,645578,36872119372,19,5,0,1
2,3,1,800,1,3,2,707399,40403395798,21,5,0,1
1,3,1,800,1,3,1,707398,40403395724,21,5,0,1
2,3,1,800,1,3,2,774587,44241203142,23,5,0,1
1,3,1,800,1,3,1,774586,44241203068,23,5,0,1
2,3,1,800,1,3,2,842784,48136735080,25,5,0,1
1,3,1,800,1,3,1,842783,48136735006,25,5,0,1
2,3,1,800,1,3,2,910612,52011407216,28,5,0,1
1,3,1,800,1,3,1,910611,52011407142,28,5,0,1
2,3,1,800,1,3,2,979915,55969406470,30,5,0,1
1,3,1,800,1,3,1,979914,55969406396,30,5,0,1
2,3,1,800,1,3,2,1046585,59778172906,32,5,0,1
1,3,1,800,1,3,1,1046584,59778172832,32,5,0,1
2,3,1,800,1,3,2,1111275,63473433838,34,5,0,1
1,3,1,800,1,3,1,1111274,63473433764,34,5,0,1
2,3,1,800,1,3,2,1179038,67343694060,36,5,0,1
1,3,1,800,1,3,1,1179037,67343693986,36,5,0,1
2,3,1,800,1,3,2,1246328,71187067008,38,5,0,1
1,3,1,800,1,3,1,1246327,71187066934,38,5,0,1
2,3,1,800,1,3,2,1315364,75130800232,40,5,0,1
1,3,1,800,1,3,1,1315363,75130800158,40,5,0,1
2,3,1,800,1,3,2,1383510,79022475044,42,5,0,1
1,3,1,800,1,3,1,1383509,79022474970,42,5,0,1
2,3,1,800,1,3,2,1453094,82996361932,44,5,0,1
1,3,1,800,1,3,1,1453093,82996361858,44,5,0,1
2,3,1,800,1,3,2,1523542,87019102900,46,5,0,1
1,3,1,800,1,3,1,1523541,87019102826,46,5,0,1
2,3,1,800,1,3,2,1591384,90894283984,48,5,0,1
1,3,1,800,1,3,1,1591383,90894283910,48,5,0,1
2,3,1,800,1,3,2,1659484,94783198176,50,5,0,1
1,3,1,800,1,3,1,1659483,94783198102,50,5,0,1
2,3,1,800,1,3,2,1756690,100334628100,52,5,0,1
1,3,1,800,1,3,1,1756689,100334628026,52,5,0,1
2,3,1,800,1,3,2,1824961,104233409570,54,5,0,1
1,3,1,800,1,3,1,1824960,104233409496,54,5,0,1
2,3,1,800,1,3,2,1893449,108144793058,56,5,0,1
1,3,1,800,1,3,1,1893448,108144792984,56,5,0,1
2,3,1,800,1,3,2,1962582,112093490636,58,5,0,1
1,3,1,800,1,3,1,1962581,112093490562,58,5,0,1
2,3,1,800,1,3,2,2032742,116099738932,60,5,0,1
1,3,1,800,1,3,1,2032741,116099738858,60,5,0,1
2,3,1,800,1,3,2,2102505,120084576730,62,5,0,1
1,3,1,800,1,3,1,2102504,120084576656,62,5,0,1
2,3,1,800,1,3,2,2168598,123858835828,64,5,0,1
1,3,1,800,1,3,1,2168597,123858835754,64,5,0,1
2,3,1,800,1,3,2,2236492,127736231752,66,5,0,1
1,3,1,800,1,3,1,2236491,127736231678,66,5,0,1
2,3,1,800,1,3,2,2303775,131579105894,68,5,0,1
1,3,1,800,1,3,1,2303774,131579105820,68,5,0,1
2,3,1,800,1,3,2,2371989,135474587370,70,5,0,1
1,3,1,800,1,3,1,2371988,135474587296,70,5,0,1
2,3,1,800,1,3,2,2439884,139352504640,72,5,0,1
1,3,1,800,1,3,1,2439883,139352504566,72,5,0,1
2,3,1,800,1,3,2,2507877,143234790802,74,5,0,1
1,3,1,800,1,3,1,2507876,143234790728,74,5,0,1
2,3,1,800,1,3,2,2575003,147068394126,76,5,0,1
1,3,1,800,1,3,1,2575002,147068394052,76,5,0,1
2,3,1,800,1,3,2,2640636,150817396848,78,5,0,1
1,3,1,800,1,3,1,2640635,150817396774,78,5,0,1
2,3,1,800,1,3,2,2708137,154673292682,80,5,0,1
1,3,1,800,1,3,1,2708136,154673292608,80,5,0,1
2,3,1,800,1,3,2,2769709,158190592274,82,5,0,1
1,3,1,800,1,3,1,2769708,158190592200,82,5,0,1
2,3,1,800,1,3,2,2837591,162067985046,84,5,0,1
1,3,1,800,1,3,1,2837590,162067984972,84,5,0,1
2,3,1,800,1,3,2,2904368,165882267120,86,5,0,1
