agent,iperfs,size,iter
A1,2,10M,5
A1,2,50M,5
A1,2,100M,5
A1,2,200M,5
A1,2,500M,5
A1,4,10M,5
A1,4,50M,5
A1,4,100M,5
A1,4,200M,5
A1,4,500M,5
A1,8,10M,5
A1,8,50M,5
A1,8,100M,5
A1,8,200M,5
A1,8,500M,5
F,2,10M,5
F,2,50M,5
F,2,100M,5
F,2,200M,5
F,2,500M,5
F,4,10M,5
F,4,50M,5
F,4,100M,5
F,4,200M,5
F,4,500M,5
F,8,10M,5
F,8,50M,5
F,8,100M,5
F,8,200M,5
F,8,500M,5
