agent, num_iperfs, port_number, original_size, transferred, received, retries, flow_completion_time, bandwidth, iter
A,4,46114,100M,100.0,96.5,1777.0,369.0,2.28
A,4,46116,100M,101.0,95.0,1046.0,337.0,2.51
A,4,46116,100M,101.0,93.8,1766.0,372.01,2.28
A,4,46112,100M,100.0,94.4,1479.0,342.0,2.46
A,4,46114,100M,100.0,94.6,2943.0,335.0,2.51
A,4,46114,100M,100.0,95.9,1168.0,323.0,2.6
A,4,46116,100M,100.0,95.4,1912.0,365.0,2.3
A,4,46116,100M,101.0,94.1,2744.0,372.0,2.27
A,4,46110,100M,100.0,95.6,1359.0,285.0,2.95
A,4,46114,100M,100.0,91.8,2026.0,311.0,2.7
A,4,46110,100M,101.0,94.7,1487.0,387.0,2.18
A,4,46112,100M,101.0,93.3,2212.0,361.0,2.34
A,4,46116,100M,100.0,96.3,1391.0,320.0,2.63
A,4,46112,100M,100.0,95.3,1467.0,241.0,3.49
A,4,46110,100M,101.0,94.4,2227.0,392.0,2.17
A,4,46114,100M,101.0,96.9,1511.0,359.98,2.35
A,4,46110,100M,100.0,94.0,2662.0,321.0,2.62
A,4,46112,100M,100.0,93.5,2651.0,341.0,2.46
A,4,46112,100M,100.0,93.6,2699.0,371.0,2.27
A,4,46110,100M,100.0,95.4,1898.0,347.0,2.43
A,4,46114,200M,200.0,192.0,5496.0,627.0,2.68
A,4,46116,200M,200.0,195.0,3392.0,678.0,2.48
A,4,46112,200M,200.0,195.0,3346.0,699.0,2.41
A,4,46116,200M,201.0,195.0,3615.0,640.0,2.63
A,4,46114,200M,200.0,193.0,3701.0,648.0,2.6
A,4,46110,200M,201.0,191.0,4478.0,537.0,3.14
A,4,46114,200M,200.0,191.0,3994.0,529.0,3.17
A,4,46116,200M,201.0,190.0,3772.0,700.0,2.41
A,4,46116,200M,200.0,195.0,4108.0,620.0,2.71
A,4,46114,200M,201.0,194.0,2768.0,714.0,2.36
A,4,46110,200M,201.0,194.0,7272.0,487.54,3.46
A,4,46112,200M,200.0,194.0,3414.0,642.0,2.62
A,4,46112,200M,200.0,195.0,3546.0,671.0,2.5
A,4,46116,200M,200.0,194.0,2761.0,642.0,2.61
A,4,46110,200M,200.0,191.0,6588.0,526.0,3.19
A,4,46110,200M,200.0,193.0,3181.0,714.0,2.35
A,4,46112,200M,200.0,185.0,11107.0,337.0,4.98
A,4,46112,200M,200.0,186.0,12718.0,382.0,4.4
A,4,46114,200M,200.0,196.0,2819.0,700.0,2.4
A,4,46110,200M,200.0,193.0,3067.0,547.0,3.07
A,4,46110,500M,500.0,492.0,19692.0,1237.0,3.39
A,4,46116,500M,500.0,490.0,25154.0,1363.0,3.08
A,4,46112,500M,501.0,493.0,11912.0,1846.0,2.27
A,4,46112,500M,501.0,487.0,13850.0,1693.0,2.48
A,4,46110,500M,501.0,491.0,24699.0,1639.15,2.56
A,4,46110,500M,500.0,491.0,20658.0,963.0,4.36
A,4,46114,500M,500.0,488.0,34274.0,1495.0,2.81
A,4,46112,500M,500.0,496.0,8804.0,1702.0,2.47
A,4,46112,500M,500.0,493.0,22614.0,1313.0,3.19
A,4,46110,500M,500.0,487.0,8222.0,1619.0,2.59
A,4,46114,500M,500.0,494.0,20235.0,1411.0,2.97
A,4,46116,500M,500.0,485.0,10102.0,1648.0,2.55
A,4,46112,500M,501.0,488.0,30469.0,1746.0,2.41
A,4,46116,500M,500.0,492.0,11042.0,1337.0,3.14
A,4,46114,500M,501.0,493.0,10422.0,1719.0,2.45
A,4,46114,500M,500.0,485.0,12927.0,1383.0,3.03
A,4,46116,500M,500.0,488.0,17171.0,1574.0,2.67
A,4,46116,500M,501.0,493.0,20915.0,1580.0,2.66
A,4,46114,500M,501.0,492.0,14072.0,1851.0,2.27
A,4,46110,500M,501.0,490.0,36022.0,1471.0,2.86
A,8,46120,10M,10.4,8.83,146.0,64.0,1.37
A,8,46110,10M,10.5,6.97,342.0,19.0,4.63
A,8,46110,10M,11.2,6.85,167.0,16.0,5.86
A,8,46120,10M,10.2,8.43,369.0,99.0,0.8447265625
A,8,46120,10M,10.5,7.39,199.0,50.86,1.74
A,8,46110,10M,10.1,7.44,734.0,40.82,2.07
A,8,46110,10M,10.2,6.5,119.0,17.0,5.03
A,8,46120,10M,10.3,8.62,55.0,33.0,2.62
A,8,46120,10M,10.1,7.65,206.0,58.0,1.46
A,8,46110,10M,10.2,7.81,150.0,28.0,3.06
A,8,46118,10M,10.6,8.17,248.0,52.0,1.7
A,8,46116,10M,10.0,7.33,136.0,49.0,1.71
A,8,46118,10M,10.1,9.06,216.0,71.0,1.2
A,8,46118,10M,10.2,7.86,203.0,55.0,1.55
A,8,46110,10M,10.2,6.5,119.0,17.0,5.03
A,8,46118,10M,10.2,8.05,489.0,98.0,0.8486328125
A,8,46116,10M,10.2,8.62,545.0,97.0,0.861328125
A,8,46116,10M,10.1,8.61,174.0,65.0,1.3
A,8,46116,10M,10.2,9.12,271.0,72.0,1.19
A,8,46116,10M,10.2,8.52,217.0,51.0,1.67
A,8,46118,10M,10.1,7.78,251.0,54.0,1.57
A,8,46124,10M,10.2,7.72,204.0,57.0,1.5
A,8,46114,10M,10.0,7.77,214.0,42.0,2.01
A,8,46114,10M,10.2,8.39,230.0,49.0,1.75
A,8,46124,10M,10.3,7.58,153.0,45.0,1.92
A,8,46124,10M,10.3,7.58,304.0,94.0,0.8984375
A,8,46114,10M,10.3,8.43,276.0,45.0,1.92
A,8,46114,10M,10.2,8.23,1225.0,80.0,1.07
A,8,46124,10M,10.1,8.67,213.0,60.0,1.41
A,8,46124,10M,10.7,8.35,292.0,61.0,1.47
A,8,46114,10M,10.3,9.06,229.0,68.0,1.27
A,8,46112,10M,10.1,6.47,652.0,44.0,1.94
A,8,46122,10M,10.4,7.77,271.0,57.0,1.53
A,8,46122,10M,10.2,9.0,161.0,70.98,1.2
A,8,46112,10M,10.4,7.99,522.0,35.0,2.49
A,8,46112,10M,10.4,7.27,204.0,32.0,2.72
A,8,46122,10M,10.3,5.24,107.0,54.0,1.6
A,8,46122,10M,10.2,7.74,567.0,92.0,0.9052734375
A,8,46112,10M,10.2,7.57,182.0,30.0,2.86
A,8,46112,10M,10.2,7.02,315.0,39.0,2.19
A,8,46122,10M,10.3,7.67,230.0,58.0,1.49
A,8,46122,50M,50.6,41.8,1842.0,181.0,2.34
A,8,46112,50M,50.0,43.7,1794.0,228.0,1.84
A,8,46112,50M,50.1,46.6,1554.0,346.0,1.22
A,8,46122,50M,50.8,44.7,3344.0,455.0,0.9140625
A,8,46122,50M,50.4,45.9,1207.0,404.0,1.05
A,8,46112,50M,50.7,42.7,1500.0,126.01,3.38
A,8,46112,50M,50.0,47.4,1607.0,428.0,0.9580078125
A,8,46122,50M,50.1,45.9,936.0,372.0,1.13
A,8,46122,50M,50.4,42.4,1286.0,569.0,0.7265625
A,8,46112,50M,50.0,43.2,1053.0,470.0,0.8720703125
A,8,46114,50M,50.0,47.0,1774.0,431.0,0.951171875
A,8,46124,50M,50.1,45.4,2036.0,503.0,0.8154296875
A,8,46124,50M,50.5,46.4,1273.0,390.0,1.09
A,8,46114,50M,50.4,42.5,3912.0,392.0,1.08
A,8,46114,50M,50.3,46.2,1839.0,464.0,0.888671875
A,8,46124,50M,50.7,45.6,1076.0,353.0,1.2
A,8,46124,50M,50.2,45.7,1439.0,458.0,0.8974609375
A,8,46114,50M,50.1,47.6,1321.0,343.0,1.22
A,8,46114,50M,50.1,47.3,1798.0,376.0,1.12
A,8,46124,50M,50.1,42.7,2560.0,505.0,0.8125
A,8,46118,50M,50.1,45.5,1464.0,444.0,0.923828125
A,8,46118,50M,50.2,45.4,2965.0,483.0,0.8515625
A,8,46118,50M,51.2,46.0,1139.0,406.0,1.06
A,8,46116,50M,50.2,46.7,1816.0,547.0,0.7509765625
A,8,46118,50M,50.6,47.8,1386.0,344.22,1.23
A,8,46116,50M,50.1,46.7,1586.0,347.0,1.21
A,8,46116,50M,50.1,46.1,1811.0,276.0,1.52
A,8,46118,50M,50.3,45.6,1368.0,559.0,0.736328125
A,8,46116,50M,50.0,44.3,2099.0,491.0,0.8349609375
A,8,46116,50M,50.3,48.1,1383.0,472.01,0.8720703125
A,8,46110,50M,50.4,46.4,3677.0,499.0,0.8271484375
A,8,46120,50M,50.0,43.1,1782.0,260.0,1.61
A,8,46120,50M,50.4,45.4,1144.0,381.01,1.11
A,8,46110,50M,50.0,45.0,1974.0,316.0,1.33
A,8,46110,50M,50.1,47.1,1595.0,353.0,1.19
A,8,46120,50M,50.1,46.4,1376.0,444.0,0.923828125
A,8,46120,50M,50.0,43.1,2954.0,370.0,1.13
A,8,46110,50M,50.4,46.3,1222.0,303.0,1.4
A,8,46110,50M,50.1,47.0,1508.0,441.0,0.9306640625
A,8,46120,50M,50.1,47.2,1731.0,515.01,0.7958984375
A,8,46124,100M,101.0,96.3,2048.0,671.0,1.26
A,8,46120,100M,100.0,95.7,2139.0,625.0,1.34
A,8,46124,100M,100.0,95.7,1889.0,700.0,1.2
A,8,46124,100M,100.0,92.8,2662.0,590.0,1.42
A,8,46122,100M,100.0,97.2,2243.0,714.0,1.18
A,8,46124,100M,100.0,94.8,2386.0,705.0,1.19
A,8,46120,100M,100.0,97.3,2165.0,680.0,1.24
A,8,46122,100M,100.0,94.0,1937.0,496.0,1.69
A,8,46122,100M,100.0,96.5,2463.0,602.0,1.39
A,8,46120,100M,100.0,97.4,2592.0,645.0,1.3
A,8,46124,100M,101.0,97.7,3316.0,716.0,1.18
A,8,46120,100M,100.0,97.4,2581.0,671.01,1.26
A,8,46122,100M,100.0,97.5,1832.0,689.0,1.22
A,8,46122,100M,100.0,95.5,2856.0,636.0,1.32
A,8,46120,100M,101.0,94.6,2148.0,737.0,1.15
A,8,46116,100M,100.0,98.1,2753.0,705.0,1.19
A,8,46112,100M,100.0,94.4,3724.0,592.0,1.42
A,8,46110,100M,101.0,94.8,1907.0,673.0,1.25
A,8,46110,100M,100.0,93.3,7887.0,633.0,1.33
A,8,46112,100M,100.0,92.8,2933.0,431.0,1.95
A,8,46112,100M,100.0,97.0,2088.0,610.0,1.38
A,8,46110,100M,101.0,86.2,12292.0,141.0,6.01
A,8,46114,100M,100.0,97.0,2381.0,711.0,1.18
A,8,46110,100M,100.0,93.3,2529.0,409.0,2.05
A,8,46112,100M,100.0,93.5,2888.0,365.0,2.3
A,8,46116,100M,101.0,97.6,1689.0,698.0,1.21
A,8,46114,100M,100.0,94.6,2382.0,568.0,1.48
A,8,46114,100M,100.0,95.4,2490.0,713.0,1.18
A,8,46112,100M,100.0,84.6,6989.0,490.0,1.72
A,8,46116,100M,100.0,95.9,2152.0,657.0,1.28
A,8,46116,100M,100.0,93.6,2472.0,705.0,1.19
A,8,46114,100M,100.0,97.5,2470.0,558.0,1.5
A,8,46114,100M,100.0,95.9,2695.0,719.0,1.17
A,8,46110,100M,100.0,98.7,3366.0,706.0,1.19
A,8,46116,100M,100.0,95.6,2251.0,735.0,1.15
A,8,46118,100M,100.0,90.9,2846.0,388.0,2.17
A,8,46118,100M,100.0,95.0,2295.0,711.0,1.18
A,8,46118,100M,100.0,95.3,2257.0,662.0,1.27
A,8,46118,100M,100.0,95.1,2313.0,714.0,1.18
A,8,46118,100M,100.0,97.9,2314.0,696.0,1.21
A,8,46118,200M,200.0,196.0,4112.0,1349.0,1.25
