timestamp,switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority,flow_id
1,3,1,800,1,3,1,54118,3086876828,2,5,0,1
2,3,1,800,1,3,2,122401,6986157442,4,5,0,1
1,3,1,800,1,3,1,122400,6986157368,4,5,0,1
2,3,1,800,1,3,2,191927,10957329302,6,5,0,1
1,3,1,800,1,3,1,191926,10957329228,6,5,0,1
2,3,1,800,1,3,2,257342,14694298196,8,5,0,1
1,3,1,800,1,3,1,257341,14694298122,8,5,0,1
2,3,1,800,1,3,2,324842,18549126788,10,5,0,1
1,3,1,800,1,3,1,324841,18549126714,10,5,0,1
2,3,1,800,1,3,2,391234,22340994788,12,5,0,1
1,3,1,800,1,3,1,391233,22340994714,12,5,0,1
2,3,1,800,1,3,2,459795,26256789358,14,5,0,1
1,3,1,800,1,3,1,459794,26256789284,14,5,0,1
2,3,1,800,1,3,2,528893,30203228642,16,5,0,1
1,3,1,800,1,3,1,528892,30203228568,16,5,0,1
2,3,1,800,1,3,2,598060,34154140712,18,5,0,1
1,3,1,800,1,3,1,598059,34154140638,18,5,0,1
2,3,1,800,1,3,2,669301,38223500546,20,5,0,1
1,3,1,800,1,3,1,669300,38223500472,20,5,0,1
2,3,1,800,1,3,2,738190,42159173276,22,5,0,1
1,3,1,800,1,3,1,738189,42159173202,22,5,0,1
2,3,1,800,1,3,2,805484,46001932448,24,5,0,1
1,3,1,800,1,3,1,805483,46001932374,24,5,0,1
2,3,1,800,1,3,2,902138,51523199164,26,5,0,1
1,3,1,800,1,3,1,902137,51523199090,26,5,0,1
2,3,1,800,1,3,2,936819,53503809110,28,5,0,1
1,3,1,800,1,3,1,936818,53503809036,28,5,0,1
2,3,1,800,1,3,2,1007491,57540836662,30,5,0,1
1,3,1,800,1,3,1,1007490,57540836588,30,5,0,1
2,3,1,800,1,3,2,1076401,61476987490,32,5,0,1
1,3,1,800,1,3,1,1076400,61476987416,32,5,0,1
2,3,1,800,1,3,2,1148075,65570393174,34,5,0,1
1,3,1,800,1,3,1,1148074,65570393100,34,5,0,1
2,3,1,800,1,3,2,1218919,69616154518,36,5,0,1
1,3,1,800,1,3,1,1218918,69616154444,36,5,0,1
2,3,1,800,1,3,2,1287805,73550051714,38,5,0,1
1,3,1,800,1,3,1,1287804,73550051640,38,5,0,1
2,3,1,800,1,3,2,1356279,77461959590,40,5,0,1
1,3,1,800,1,3,1,1356278,77461959516,40,5,0,1
2,3,1,800,1,3,2,1460083,83390800278,42,5,0,1
1,3,1,800,1,3,1,1460082,83390800204,42,5,0,1
2,3,1,800,1,3,2,1529025,87328488322,44,5,0,1
1,3,1,800,1,3,1,1529024,87328488248,44,5,0,1
2,3,1,800,1,3,2,1598106,91273388076,46,5,0,1
1,3,1,800,1,3,1,1598105,91273388002,46,5,0,1
2,3,1,800,1,3,2,1669014,95322940164,48,5,0,1
1,3,1,800,1,3,1,1669013,95322940090,48,5,0,1
2,3,1,800,1,3,2,1738558,99295252788,50,5,0,1
1,3,1,800,1,3,1,1738557,99295252714,50,5,0,1
2,3,1,800,1,3,2,1808525,103291099258,52,5,0,1
1,3,1,800,1,3,1,1808524,103291099184,52,5,0,1
2,3,1,800,1,3,2,1876262,107160756348,54,5,0,1
1,3,1,800,1,3,1,1876261,107160756274,54,5,0,1
2,3,1,800,1,3,2,1940393,110823142930,57,5,0,1
1,3,1,800,1,3,1,1940392,110823142856,57,5,0,1
2,3,1,800,1,3,2,2010573,114831071594,59,5,0,1
1,3,1,800,1,3,1,2010572,114831071520,59,5,0,1
2,3,1,800,1,3,2,2080454,118822565260,61,5,0,1
1,3,1,800,1,3,1,2080453,118822565186,61,5,0,1
2,3,1,800,1,3,2,2144687,122493474582,63,5,0,1
1,3,1,800,1,3,1,2144686,122493474508,63,5,0,1
2,3,1,800,1,3,2,2199277,125616139658,65,5,0,1
1,3,1,800,1,3,1,2199276,125616139584,65,5,0,1
2,3,1,800,1,3,2,2248040,128405599528,67,5,0,1
1,3,1,800,1,3,1,2248039,128405599454,67,5,0,1
2,3,1,800,1,3,2,2307473,131802192778,69,5,0,1
1,3,1,800,1,3,1,2307472,131802192704,69,5,0,1
2,3,1,800,1,3,2,2354560,134497535672,71,5,0,1
1,3,1,800,1,3,1,2354559,134497535598,71,5,0,1
2,3,1,800,1,3,2,2410550,137700916108,73,5,0,1
1,3,1,800,1,3,1,2410549,137700916034,73,5,0,1
2,3,1,800,1,3,2,2473691,141309148174,75,5,0,1
1,3,1,800,1,3,1,2473690,141309148100,75,5,0,1
2,3,1,800,1,3,2,2541540,145184253200,77,5,0,1
1,3,1,800,1,3,1,2541539,145184253126,77,5,0,1
2,3,1,800,1,3,2,2610400,149117038064,79,5,0,1
1,3,1,800,1,3,1,2610399,149117037990,79,5,0,1
2,3,1,800,1,3,2,2679393,153056411506,81,5,0,1
1,3,1,800,1,3,1,2679392,153056411432,81,5,0,1
2,3,1,800,1,3,2,2747320,156935956592,83,5,0,1
1,3,1,800,1,3,1,2747319,156935956518,83,5,0,1
2,3,1,800,1,3,2,2813846,160735531092,85,5,0,1
1,3,1,800,1,3,1,2813845,160735531018,85,5,0,1
2,3,1,800,1,3,2,2876483,164313360590,87,5,0,1
1,3,1,800,1,3,1,2876482,164313360516,87,5,0,1
2,3,1,800,1,3,2,2944771,168213787294,89,5,0,1
1,3,1,800,1,3,1,2944770,168213787220,89,5,0,1
2,3,1,800,1,3,2,3013246,172124058908,91,5,0,1
