Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  66.00-67.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.23 MBytes       
[  4]  67.00-68.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.29 MBytes       
[  4]  68.00-69.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.34 MBytes       
[  4]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.39 MBytes       
[  4]  70.00-71.00  sec  1.04 MBytes  8.73 Mbits/sec   85   3.08 MBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   2.73 MBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   2.40 MBytes       
[  4]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec  123   2.38 MBytes       
[  4]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec  107   2.38 MBytes       
[  4]  75.00-76.00  sec   636 KBytes  5.21 Mbits/sec    0   2.38 MBytes       
[  4]  76.00-77.00  sec   891 KBytes  7.30 Mbits/sec    3   1.41 KBytes       
[  4]  77.00-78.00  sec  5.00 MBytes  41.9 Mbits/sec   39   2.67 MBytes       
[  4]  78.00-79.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.73 MBytes       
[  4]  79.00-80.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.78 MBytes       
[  4]  80.00-81.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.83 MBytes       
[  4]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.88 MBytes       
[  4]  82.00-83.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.94 MBytes       
[  4]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.99 MBytes       
[  4]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.05 MBytes       
[  4]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.10 MBytes       
[  4]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.16 MBytes       
[  4]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.22 MBytes       
[  4]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.28 MBytes       
[  4]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.40 MBytes       
[  4]  90.00-91.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.57 MBytes       
[  4]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.79 MBytes       
[  4]  92.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   3.79 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-92.00  sec   100 MBytes  9.14 Mbits/sec  3898             sender
[  4]   0.00-92.00  sec  87.1 MBytes  7.94 Mbits/sec                  receiver

iperf Done.
