Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   304 KBytes  2.49 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.00   sec   134 KBytes  1.10 Mbits/sec    0   48.1 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   56.6 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.57 Mbits/sec    0   73.5 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.09 Mbits/sec    0    124 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    178 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    260 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    2    260 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   56    184 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    184 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   30    141 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec   12    123 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    123 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    2    120 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    0    129 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    134 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    134 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    147 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    147 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    153 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    153 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    163 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    163 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    208 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    208 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   13    151 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    151 KBytes       
