Step; State; Reward
1; [[0.1339 4.742  0.     0.1047 0.     0.     4.523  4.45   0.1047 4.445
  4.445  0.     0.     0.     0.     0.    ]]; [257.54193]
2; [[ 0.2688 12.81    0.      0.2688  0.      0.     11.8    11.8     0.2688
  11.8    11.8     0.      0.      0.      0.      0.    ]]; [1580.5063]
3; [[3.3643e-01 1.1336e+01 1.1444e-04 3.3643e-01 1.1444e-04 1.1444e-04
  9.4219e+00 9.4141e+00 3.3618e-01 9.4141e+00 9.4141e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1062.8231]
4; [[ 0.319  12.29    0.      0.3228  0.      0.     11.66   11.875   0.3228
   8.75    8.75    0.      0.      0.      0.      0.    ]]; [1434.4147]
5; [[2.0923e-01 9.7344e+00 1.1444e-04 2.0850e-01 1.1444e-04 1.1444e-04
  9.4766e+00 9.4766e+00 2.0850e-01 6.5156e+00 6.5156e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [914.8223]
6; [[0.2104 9.96   0.     0.2104 0.     0.     9.445  9.44   0.2106 6.984
  6.984  0.     0.     0.     0.     0.    ]]; [932.37537]
7; [[2.6392e-01 1.2461e+01 1.4305e-04 2.6367e-01 1.4305e-04 1.4305e-04
  1.1812e+01 1.1805e+01 2.6367e-01 9.0391e+00 9.0391e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1440.4443]
8; [[0.3655 9.36   0.     0.3655 0.     0.     9.3    9.23   0.365  5.95
  5.95   0.     0.     0.     0.     0.    ]]; [868.5204]
9; [[2.8638e-01 1.2195e+01 1.4305e-04 3.4082e-01 1.4305e-04 1.4305e-04
  1.1797e+01 1.1789e+01 3.4082e-01 7.0586e+00 7.0586e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1337.6094]
10; [[ 0.2075 10.38    0.      0.2075  0.      0.      9.44    9.44    0.2074
   5.26    5.26    0.      0.      0.      0.      0.    ]]; [873.10114]
11; [[6.2207e-01 1.2586e+01 1.4305e-04 6.2207e-01 1.4305e-04 1.4305e-04
  1.1852e+01 1.1859e+01 6.2207e-01 8.4375e+00 8.4375e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1464.9512]
12; [[ 0.3132 10.56    0.      0.3132  0.      0.      9.44    9.43    0.3132
   4.977   4.977   0.      0.      0.      0.      0.    ]]; [874.5145]
13; [[5.9473e-01 1.4125e+01 1.4305e-04 5.9473e-01 1.4305e-04 1.4305e-04
  1.1898e+01 1.1891e+01 5.9473e-01 1.1500e+01 1.1500e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1658.4421]
14; [[0.2073 9.8    0.     0.2073 0.     0.     9.4    9.41   0.2073 4.82
  4.82   0.     0.     0.     0.     0.    ]]; [841.17535]
15; [[ 0.2283 10.42    0.      0.2275  0.      0.      9.445   9.42    0.2261
   4.977   4.977   0.      0.      0.      0.      0.    ]]; [863.7757]
16; [[ 0.3284 10.97    0.      0.3271  0.      0.      9.445   9.445   0.3271
   2.889   2.889   0.      0.      0.      0.      0.    ]]; [803.8129]
17; [[0.2157 9.836  0.     0.2196 0.     0.     9.44   9.43   0.2196 1.712
  1.712  0.     0.     0.     0.     0.    ]]; [726.1473]
18; [[ 0.655 11.17   0.     0.655  0.     0.    11.86  11.85   0.655  2.31
   2.31   0.     0.     0.     0.     0.   ]]; [1125.7672]
