Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   305 KBytes  2.50 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.00   sec   134 KBytes  1.10 Mbits/sec    0   46.7 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   56.6 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   76.4 KBytes       
[  4]   5.00-6.00   sec   255 KBytes  2.08 Mbits/sec    0    106 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.60 Mbits/sec    0    147 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   522 Kbits/sec    0    157 KBytes       
[  4]   8.00-9.00   sec   509 KBytes  4.17 Mbits/sec    6    211 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   44    157 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    1    157 KBytes       
[  4]  11.00-12.00  sec   191 KBytes  1.56 Mbits/sec    5    157 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    5   93.3 KBytes       
[  4]  13.00-14.00  sec   255 KBytes  2.08 Mbits/sec    0    110 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0    127 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0    130 KBytes       
[  4]  17.00-18.01  sec  0.00 Bytes  0.00 bits/sec    0    132 KBytes       
[  4]  18.01-19.00  sec   127 KBytes  1.05 Mbits/sec    0    133 KBytes       
[  4]  19.00-20.01  sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4]  20.01-21.00  sec   127 KBytes  1.05 Mbits/sec    0    150 KBytes       
[  4]  21.00-22.01  sec  0.00 Bytes  0.00 bits/sec    0    157 KBytes       
[  4]  22.01-23.01  sec   127 KBytes  1.04 Mbits/sec    0    191 KBytes       
[  4]  23.01-24.00  sec  0.00 Bytes  0.00 bits/sec   24    134 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.57 Mbits/sec    4    134 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    160 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    173 KBytes       
[  4]  28.00-29.01  sec   127 KBytes  1.04 Mbits/sec    0    184 KBytes       
[  4]  29.01-30.01  sec   191 KBytes  1.56 Mbits/sec    0    189 KBytes       
[  4]  30.01-31.00  sec   191 KBytes  1.57 Mbits/sec    0    192 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    0    195 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    201 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    215 KBytes       
[  4]  34.00-35.01  sec   255 KBytes  2.07 Mbits/sec    0    238 KBytes       
[  4]  35.01-36.00  sec   382 KBytes  3.16 Mbits/sec    0    270 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0    305 KBytes       
[  4]  37.00-38.00  sec   636 KBytes  5.22 Mbits/sec    0    378 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   42    269 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec   17    269 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0    270 KBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.61 Mbits/sec    0    300 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    329 KBytes       
[  4]  43.00-44.00  sec   191 KBytes  1.56 Mbits/sec    0    349 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   23    266 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    8    243 KBytes       
[  4]  46.00-47.01  sec   509 KBytes  4.15 Mbits/sec    0    249 KBytes       
[  4]  47.01-48.00  sec   255 KBytes  2.10 Mbits/sec    0    266 KBytes       
[  4]  48.00-49.00  sec   255 KBytes  2.08 Mbits/sec    0    280 KBytes       
[  4]  49.00-50.00  sec   191 KBytes  1.56 Mbits/sec    0    288 KBytes       
[  4]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0    291 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    294 KBytes       
[  4]  52.00-53.00  sec   445 KBytes  3.65 Mbits/sec    0    298 KBytes       
[  4]  53.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0    298 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-53.00  sec  10.1 MBytes  1.60 Mbits/sec  179             sender
[  4]   0.00-53.00  sec  8.27 MBytes  1.31 Mbits/sec                  receiver

iperf Done.
