Step; State; Reward
35; [[ 0.201 10.03   0.     0.201  0.     0.     9.51   9.51   0.201  4.49   4.49   0.     0.     0.     0.     0.   ]]; [844.53864]
36; [[0.4229 8.96   0.     0.4229 0.     0.     9.17   9.18   0.4229 4.492  4.492  0.     0.     0.     0.     0.    ]]; [802.8953]
37; [[4.0698e-01 1.1336e+01 1.4305e-04 4.0674e-01 1.4305e-04 1.4305e-04  1.1750e+01 1.1766e+01 4.0674e-01 3.8633e+00 3.8633e+00 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1170.4596]
38; [[ 0.2247 12.      0.      0.2354  0.      0.     11.23   10.96    0.2363   0.      0.      0.      0.      0.      0.      0.    ]]; [910.67303]
39; [[2.2107e-01 1.0117e+01 1.1444e-04 2.1924e-01 1.1444e-04 1.1444e-04  9.5078e+00 9.5469e+00 2.1899e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [696.6661]
40; [[ 0.2554 12.2     0.      0.2583  0.      0.     11.805  11.83    0.2595   0.      0.      0.      0.      0.      0.      0.    ]]; [1023.1437]
41; [[2.1057e-01 9.7031e+00 1.1444e-04 2.1045e-01 1.1444e-04 1.1444e-04  9.5156e+00 9.5156e+00 2.1045e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [685.2464]
42; [[ 0.3975 12.89    0.      0.3975  0.      0.     11.88   11.9     0.398   0.      0.      0.      0.      0.      0.      0.    ]]; [1061.2867]
43; [[4.2676e-01 8.8594e+00 1.1444e-04 4.2676e-01 1.1444e-04 1.1444e-04  9.4844e+00 9.3906e+00 4.2676e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [672.2201]
44; [[ 9.375  8.55   9.17   9.375  0.     0.     9.33  18.75   9.766  0.   9.34   0.     0.     9.36   0.     0.   ]]; [5428.4473]
45; [[1.1172e+01 1.1227e+01 1.0609e+01 1.1766e+01 1.4305e-04 1.4305e-04  1.0891e+01 2.3188e+01 1.2070e+01 1.4305e-04 1.1562e+01 1.4305e-04  1.4305e-04 1.1594e+01 1.4305e-04 1.4305e-04]]; [8078.7446]
46; [[ 8.92  9.16  8.6   9.36  0.    0.    8.74 17.66  8.97  0.    8.59  0.   0.    8.69  0.    0.  ]]; [4899.191]
47; [[9.4531e+00 9.6875e+00 1.1383e+01 9.4297e+00 1.1444e-04 1.1444e-04  9.4062e+00 1.8781e+01 9.9922e+00 1.1444e-04 9.3828e+00 1.1444e-04  1.1444e-04 9.4297e+00 1.1444e-04 1.1444e-04]]; [5672.3354]
48; [[11.79  12.305 15.84  11.83   0.     0.    11.664 23.38  12.445  0.  11.695  0.     0.    11.75   0.     0.   ]]; [8875.828]
49; [[7.434e+00 1.291e+01 9.008e+00 6.578e+00 1.431e-04 1.431e-04 1.169e+01  1.684e+01 5.766e+00 1.431e-04 5.102e+00 1.431e-04 1.431e-04 4.137e+00  1.431e-04 1.431e-04]]; [4028.2761]
50; [[ 9.21   9.875 10.48   9.45   0.     0.     9.375 18.67   9.75   0.   9.305  0.     0.     9.47   0.     0.   ]]; [5525.9443]
51; [[8.4922e+00 1.1016e+01 3.6621e+00 7.5156e+00 1.1444e-04 1.1444e-04  9.4453e+00 1.5836e+01 7.0273e+00 1.1444e-04 6.4336e+00 1.1444e-04  1.1444e-04 5.6250e+00 1.1444e-04 1.1444e-04]]; [3821.7134]
52; [[11.58  11.586 16.84  11.77   0.     0.    11.67  23.36  12.28   0.  11.62   0.     0.    11.805  0.     0.   ]]; [8803.752]
53; [[3.8940e-01 1.1375e+01 1.1444e-04 3.8965e-01 1.1444e-04 1.1444e-04  9.2266e+00 9.2422e+00 3.8989e-01 1.1444e-04 2.4033e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [700.26886]
54; [[0.1372 9.79   0.     0.137  0.     0.     9.26   9.26   0.137  0.  0.     0.     0.     0.     0.     0.    ]]; [653.60645]
55; [[ 0.4553 10.234   0.      0.4553  0.      0.     11.7    11.7     0.4553   0.      0.      0.      0.      0.      0.      0.    ]]; [975.8209]
56; [[ 0.2937 11.12    0.      0.294   0.      0.     11.65   11.65    0.294   0.      0.      0.      0.      0.      0.      0.    ]]; [976.86676]
57; [[0.4202 6.438  0.     0.4202 0.     0.     9.41   9.41   0.4202 0.  0.     0.     0.     0.     0.     0.    ]]; [624.2429]
58; [[ 0.619 12.164  0.     0.619  0.     0.    11.74  11.734  0.619  0.   0.     0.     0.     0.     0.     0.   ]]; [1041.358]
59; [[ 0.2896 11.13    0.      0.2896  0.      0.      9.48    9.484   0.2896   0.      0.      0.      0.      0.      0.      0.    ]]; [715.04956]
60; [[3.1348e-01 1.1086e+01 1.4305e-04 3.1323e-01 1.4305e-04 1.4305e-04  1.1680e+01 1.1672e+01 3.1323e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [981.5444]
61; [[ 0.2778 11.81    0.      0.2778  0.      0.     11.69   11.69    0.2778   0.      0.      0.      0.      0.      0.      0.    ]]; [997.7291]
62; [[4.1138e-01 6.7383e+00 1.1444e-04 4.1138e-01 1.1444e-04 1.1444e-04  9.4219e+00 9.4219e+00 4.1138e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [631.149]
63; [[ 0.2798 11.62    0.      0.28    0.      0.     11.664  11.66    0.28   0.      0.      0.      0.      0.      0.      0.    ]]; [989.26733]
64; [[4.277e-01 1.038e+01 1.431e-04 4.263e-01 1.431e-04 1.431e-04 1.178e+01  1.179e+01 4.263e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [988.42786]
65; [[0.2047 9.55   0.     0.2046 0.     0.     9.38   9.38   0.2046 0.  0.     0.     0.     0.     0.     0.    ]]; [667.22614]
66; [[2.0935e-01 1.0398e+01 1.1444e-04 2.0959e-01 1.1444e-04 1.1444e-04  9.3984e+00 9.3984e+00 2.0959e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [685.67377]
67; [[ 0.4504 11.38    0.      0.4504  0.      0.     11.69   11.69    0.4504   0.      0.      0.      0.      0.      0.      0.    ]]; [1001.3148]
68; [[2.0593e-01 9.5859e+00 1.1444e-04 2.0544e-01 1.1444e-04 1.1444e-04  9.4297e+00 9.4219e+00 2.0532e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [672.4733]
69; [[ 0.2554 12.15    0.      0.2559  0.      0.     11.73   11.73    0.2559   0.      0.      0.      0.      0.      0.      0.    ]]; [1008.8961]
70; [[3.1641e-01 1.0086e+01 1.1444e-04 3.1616e-01 1.1444e-04 1.1444e-04  9.4219e+00 9.4219e+00 3.1592e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [690.42896]
71; [[ 0.441  11.08    0.      0.4392  0.      0.     11.79   11.79    0.4395   0.      0.      0.      0.      0.      0.      0.    ]]; [1006.72784]
72; [[3.3496e-01 8.7188e+00 1.1444e-04 3.3447e-01 1.1444e-04 1.1444e-04  9.3516e+00 9.3438e+00 3.3447e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [656.4984]
73; [[3.3496e-01 8.7188e+00 1.1444e-04 3.3447e-01 1.1444e-04 1.1444e-04  9.3516e+00 9.3438e+00 3.3447e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
74; [[ 0.2448 11.7     0.      0.245   0.      0.     11.375  11.38    0.2452   0.      0.      0.      0.      0.      0.      0.    ]]; [952.9258]
75; [[0.1781 8.46   0.     0.178  0.     0.     8.234  8.234  0.1777 0.  0.     0.     0.     0.     0.     0.    ]]; [528.6073]
76; [[0.2473 9.414  0.     0.2478 0.     0.     9.19   9.17   0.2474 0.  0.     0.     0.     0.     0.     0.    ]]; [645.5376]
77; [[0.2045 9.555  0.     0.2035 0.     0.     9.37   9.35   0.2035 0.  0.     0.     0.     0.     0.     0.    ]]; [664.55444]
78; [[0.3652 9.055  0.     0.366  0.     0.     9.32   9.26   0.363  0.  0.     0.     0.     0.     0.     0.    ]]; [656.7639]
79; [[ 0.2842 11.95    0.      0.2832  0.      0.     11.02   11.125   0.287   0.      0.      0.      0.      0.      0.      0.    ]]; [926.33325]
80; [[0.2131 9.516  0.     0.213  0.     0.     8.836  8.84   0.213  0.  0.     0.     0.     0.     0.     0.    ]]; [610.0982]
81; [[0.2047 9.766  0.     0.2047 0.     0.     9.41   9.41   0.2047 0.  0.     0.     0.     0.     0.     0.    ]]; [673.95624]
