Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  58.00-59.00  sec   191 KBytes  1.57 Mbits/sec    0    216 KBytes       
[  4]  59.00-60.00  sec   191 KBytes  1.56 Mbits/sec    0    223 KBytes       
[  4]  60.00-61.00  sec   127 KBytes  1.04 Mbits/sec    0    233 KBytes       
[  4]  61.00-62.00  sec   191 KBytes  1.56 Mbits/sec    0    246 KBytes       
[  4]  62.00-63.00  sec   445 KBytes  3.65 Mbits/sec    0    288 KBytes       
[  4]  63.00-64.00  sec   382 KBytes  3.13 Mbits/sec    0    331 KBytes       
[  4]  64.00-65.00  sec   191 KBytes  1.56 Mbits/sec   10    318 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec   13    246 KBytes       
[  4]  66.00-67.00  sec  63.6 KBytes   521 Kbits/sec    2    246 KBytes       
[  4]  67.00-68.00  sec   509 KBytes  4.17 Mbits/sec    3    263 KBytes       
[  4]  68.00-69.00  sec  63.6 KBytes   521 Kbits/sec    3    246 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   521 Kbits/sec   31    246 KBytes       
[  4]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec   26    246 KBytes       
[  4]  71.00-72.00  sec  63.6 KBytes   521 Kbits/sec   22    246 KBytes       
[  4]  72.00-73.00  sec  63.6 KBytes   521 Kbits/sec   17    246 KBytes       
[  4]  73.00-74.00  sec   191 KBytes  1.56 Mbits/sec    2    246 KBytes       
[  4]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec   27    246 KBytes       
[  4]  75.00-76.00  sec  63.6 KBytes   521 Kbits/sec    1   1.41 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec   14   19.8 KBytes       
[  4]  77.00-78.00  sec   573 KBytes  4.69 Mbits/sec   35    184 KBytes       
[  4]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0    184 KBytes       
[  4]  79.00-80.00  sec  63.6 KBytes   521 Kbits/sec    1   1.41 KBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  82.00-83.00  sec   127 KBytes  1.04 Mbits/sec    9    132 KBytes       
[  4]  83.00-84.00  sec   891 KBytes  7.29 Mbits/sec    0    198 KBytes       
[  4]  84.00-85.00  sec   255 KBytes  2.09 Mbits/sec    0    199 KBytes       
[  4]  85.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-85.00  sec  10.1 MBytes   996 Kbits/sec  493             sender
[  4]   0.00-85.00  sec  7.92 MBytes   781 Kbits/sec                  receiver

iperf Done.
