Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5203, 39.82, 7.43, 1.57, -1, 4
46112, 34.0, 10.1, 2.49, 109.0, 4
46112, 18.0, 10.2, 4.75, 152.0, 0
5203, 34.81, 8.35, 2.01, -1, 3
5203, 25.88, 7.87, 2.55, -1, 2
46112, 28.0, 10.1, 3.02, 182.0, 1
46112, 29.0, 10.5, 3.03, 386.0, 3
5203, 25.79, 8.03, 2.61, -1, 0
5203, 32.15, 7.2, 1.88, -1, 1
46112, 23.0, 10.3, 3.74, 16.0, 2
46114, 33.95, 10.4, 2.57, 214.0, 3
46114, 25.0, 10.3, 3.46, 2.0, 2
46114, 25.0, 10.2, 3.42, 102.0, 0
46114, 31.01, 10.1, 2.73, 134.0, 1
46114, 38.0, 11.2, 2.47, 50.0, 4
46116, 26.68, 10.9, 3.42, 72.0, 0
46116, 29.0, 10.0, 2.89, 158.0, 1
5204, 38.84, 7.04, 1.52, -1, 4
46116, 35.0, 11.1, 2.65, 169.0, 3
46116, 26.84, 10.4, 3.26, 3.0, 2
5204, 30.17, 6.55, 1.82, -1, 1
5204, 27.17, 7.49, 2.31, -1, 0
5204, 27.43, 7.26, 2.22, -1, 2
46116, 37.0, 10.9, 2.47, 48.0, 4
5204, 35.84, 8.14, 1.91, -1, 3
5202, 24.12, 7.81, 2.72, -1, 2
5202, 29.28, 7.65, 2.19, -1, 3
46110, 27.0, 10.2, 3.16, 345.0, 4
5202, 29.38, 7.22, 2.06, -1, 1
5202, 19.1, 6.9, 3.03, -1, 0
5201, 27.63, 8.2, 2.49, -1, 4
46110, 20.0, 10.4, 4.34, 129.0, 3
5201, 14.54, 6.55, 3.78, -1, 0
5202, 34.76, 9.05, 2.18, -1, 4
5201, 20.92, 8.12, 3.25, -1, 1
46110, 11.0, 10.6, 8.06, 0.0, 2
46110, 13.0, 10.9, 7.04, 0.0, 0
5201, 21.29, 5.76, 2.27, -1, 3
5201, 12.4, 7.67, 5.19, -1, 2
46110, 20.0, 10.4, 4.36, 64.0, 1
