agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A,4,46114,200,200.0,3701.0,648.0,2.6,1
A,4,46110,200,201.0,4478.0,537.0,3.14,4
A,4,46114,200,200.0,3994.0,529.0,3.17,3
A,4,46116,200,201.0,3772.0,700.0,2.41,0
A,4,46116,200,200.0,4108.0,620.0,2.71,1
A,4,46114,200,201.0,2768.0,714.0,2.36,2
A,4,46110,200,201.0,7272.0,487.54,3.46,1
A,4,46112,200,200.0,3414.0,642.0,2.62,2
A,4,46112,200,200.0,3546.0,671.0,2.5,3
A,4,46116,200,200.0,2761.0,642.0,2.61,4
A,4,46110,200,200.0,6588.0,526.0,3.19,0
A,4,46110,200,200.0,3181.0,714.0,2.35,2
A,4,46112,200,200.0,11107.0,337.0,4.98,1
A,4,46112,200,200.0,12718.0,382.0,4.4,0
A,4,46114,200,200.0,2819.0,700.0,2.4,4
A,4,46110,200,200.0,3067.0,547.0,3.07,3
A,4,46110,500,500.0,19692.0,1237.0,3.39,0
A,4,46116,500,500.0,25154.0,1363.0,3.08,4
A,4,46112,500,501.0,11912.0,1846.0,2.27,3
A,4,46112,500,501.0,13850.0,1693.0,2.48,2
A,4,46110,500,501.0,24699.0,1639.15,2.56,1
A,4,46110,500,500.0,20658.0,963.0,4.36,3
A,4,46114,500,500.0,34274.0,1495.0,2.81,4
A,4,46112,500,500.0,8804.0,1702.0,2.47,0
A,4,46112,500,500.0,22614.0,1313.0,3.19,1
A,4,46110,500,500.0,8222.0,1619.0,2.59,2
A,4,46114,500,500.0,20235.0,1411.0,2.97,1
A,4,46116,500,500.0,10102.0,1648.0,2.55,2
A,4,46112,500,501.0,30469.0,1746.0,2.41,4
A,4,46116,500,500.0,11042.0,1337.0,3.14,3
A,4,46114,500,501.0,10422.0,1719.0,2.45,0
A,4,46114,500,500.0,12927.0,1383.0,3.03,2
A,4,46116,500,500.0,17171.0,1574.0,2.67,1
A,4,46116,500,501.0,20915.0,1580.0,2.66,0
A,4,46114,500,501.0,14072.0,1851.0,2.27,3
A,4,46110,500,501.0,36022.0,1471.0,2.86,4
A,8,46120,10,10.4,146.0,64.0,1.37,3
A,8,46110,10,10.5,342.0,19.0,4.63,1
A,8,46110,10,11.2,167.0,16.0,5.86,0
A,8,46120,10,10.2,369.0,99.0,0.8447265625,2
A,8,46120,10,10.5,199.0,50.86,1.74,0
A,8,46110,10,10.1,734.0,40.82,2.07,2
A,8,46110,10,10.2,119.0,17.0,5.03,3
A,8,46120,10,10.3,55.0,33.0,2.62,1
A,8,46120,10,10.1,206.0,58.0,1.46,4
A,8,46110,10,10.2,150.0,28.0,3.06,4
A,8,46118,10,10.6,248.0,52.0,1.7,0
A,8,46116,10,10.0,136.0,49.0,1.71,4
A,8,46118,10,10.1,216.0,71.0,1.2,1
A,8,46118,10,10.2,203.0,55.0,1.55,3
A,8,46110,10,10.2,119.0,17.0,5.03,32
A,8,46118,10,10.2,489.0,98.0,0.8486328125,2
A,8,46116,10,10.2,545.0,97.0,0.861328125,2
A,8,46116,10,10.1,174.0,65.0,1.3,3
A,8,46116,10,10.2,271.0,72.0,1.19,1
A,8,46116,10,10.2,217.0,51.0,1.67,0
A,8,46118,10,10.1,251.0,54.0,1.57,4
A,8,46124,10,10.2,204.0,57.0,1.5,4
A,8,46114,10,10.0,214.0,42.0,2.01,4
A,8,46114,10,10.2,230.0,49.0,1.75,1
A,8,46124,10,10.3,153.0,45.0,1.92,3
A,8,46124,10,10.3,304.0,94.0,0.8984375,2
A,8,46114,10,10.3,276.0,45.0,1.92,0
A,8,46114,10,10.2,1225.0,80.0,1.07,2
A,8,46124,10,10.1,213.0,60.0,1.41,0
A,8,46124,10,10.7,292.0,61.0,1.47,1
A,8,46114,10,10.3,229.0,68.0,1.27,3
A,8,46112,10,10.1,652.0,44.0,1.94,2
A,8,46122,10,10.4,271.0,57.0,1.53,0
A,8,46122,10,10.2,161.0,70.98,1.2,1
A,8,46112,10,10.4,522.0,35.0,2.49,3
A,8,46112,10,10.4,204.0,32.0,2.72,1
A,8,46122,10,10.3,107.0,54.0,1.6,3
A,8,46122,10,10.2,567.0,92.0,0.9052734375,2
A,8,46112,10,10.2,182.0,30.0,2.86,0
A,8,46112,10,10.2,315.0,39.0,2.19,4
A,8,46122,10,10.3,230.0,58.0,1.49,4
A,8,46122,50,50.6,1842.0,181.0,2.34,3
A,8,46112,50,50.0,1794.0,228.0,1.84,1
A,8,46112,50,50.1,1554.0,346.0,1.22,0
A,8,46122,50,50.8,3344.0,455.0,0.9140625,2
A,8,46122,50,50.4,1207.0,404.0,1.05,0
A,8,46112,50,50.7,1500.0,126.01,3.38,2
A,8,46112,50,50.0,1607.0,428.0,0.9580078125,3
