agent, num_iperfs, flow_size, time, memory, iter
B,8,10M,357.236014,3787.185546875,0
B,8,10M,355.884474,3788.3427734375,4
B,8,10M,356.25248899999997,3787.1513671875,1
B,8,10M,356.356162,3787.3564453125,2
B,8,50M,1038.216488,3824.4931640625,2
B,8,50M,1067.305801,3824.80859375,1
B,8,50M,1069.512336,3824.6533203125,0
B,8,50M,1037.846942,3822.8798828125,4
B,8,50M,1068.118098,3825.8134765625,3
B,8,100M,1473.575253,3858.509765625,4
B,8,100M,1496.484618,3861.4033203125,0
B,8,100M,1129.71048,3857.3876953125,3
B,8,100M,1530.346874,3860.798828125,2
B,8,100M,1641.228635,3862.529296875,1
B,8,200M,2750.203986,3966.33203125,2
B,8,200M,2933.161315,3968.30078125,1
B,8,200M,2652.559576,3966.5849609375,4
B,8,200M,2981.348981,3971.390625,0
B,8,200M,3095.86542,3970.126953125,3
B,8,500M,4638.876938,4180.548828125,3
B,8,500M,3535.213886,4168.8134765625,4
B,8,500M,4009.865562,4177.9716796875,0
B,8,500M,4163.306758,4177.0595703125,1
B,8,500M,5382.94974,4185.7880859375,2
C,2,10M,708.048767,3815.306640625,2
C,2,10M,651.925092,3812.0390625,1
C,2,10M,603.18805,3799.02734375,0
C,2,10M,701.095638,3815.4150390625,4
C,2,10M,673.205533,3818.6435546875,3
C,2,50M,673.473473,3815.6142578125,0
C,2,50M,596.349484,3800.27734375,4
C,2,50M,624.348449,3800.671875,3
C,2,50M,701.870059,3817.6416015625,2
C,2,50M,659.324428,3800.947265625,1
C,2,100M,928.121041,3827.8544921875,2
C,2,100M,1026.69204,3830.81640625,1
C,2,100M,822.791016,3827.2998046875,4
C,2,100M,893.220601,3832.501953125,0
C,2,100M,984.279321,3827.376953125,3
C,2,200M,1212.270825,3850.3037109375,2
C,2,200M,1113.122305,3853.373046875,1
C,2,200M,1212.623004,3868.0546875,4
C,2,200M,1281.880942,3854.40234375,0
C,2,200M,1163.106276,3850.5283203125,3
C,2,500M,1570.636763,3920.048828125,1
C,2,500M,1364.776685,3935.8701171875,2
C,2,500M,4258.217754,4160.400390625,3
C,2,500M,1947.8462260000001,3911.7939453125,4
C,2,500M,1666.998663,3908.3994140625,0
C,4,10M,1189.33409,3851.6328125,3
