Step; State; Reward
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
42; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
43; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
44; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
45; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
46; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
47; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
48; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
49; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
50; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
51; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
52; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
53; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
54; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
55; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
56; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
57; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
58; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
59; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
60; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
61; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
62; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
63; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
64; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
