Step; State; Reward
187; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
188; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
189; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
190; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
191; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
192; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
193; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
194; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
195; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
196; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
197; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
198; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
199; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
