Step; State; Reward
42; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
43; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
44; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
45; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
46; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
47; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
48; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
49; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
50; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
51; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
52; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
53; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
54; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
55; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
56; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
57; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
58; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
59; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
60; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
61; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
62; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
63; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
64; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
65; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
66; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
67; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
