Step; State; Reward
0; [[0.1788 9.625  0.     0.1786 0.     0.     9.445  9.445  0.1786 9.445
14; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
15; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
16; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
17; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
18; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
19; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
20; [[0.2651 9.35   0.     0.26   0.     0.     9.27   9.25   0.2593 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
21; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
22; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
23; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
24; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
25; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
26; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
27; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
28; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
