Step; State; Reward
Step; State; Reward
15; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
16; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
17; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
18; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
19; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
20; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
21; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
22; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
23; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
24; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
25; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
26; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
27; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
28; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
29; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
30; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
31; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
32; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
33; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
34; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
35; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
36; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
37; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
38; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
39; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
40; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
41; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
42; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
43; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
44; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
45; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
46; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
47; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
48; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
49; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
50; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
51; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
  1.0445e+01 1.0570e+01 4.8945e+00 6.0742e+00 1.5742e+00 1.7166e-04
  5.4062e+00 8.1062e-05 0.0000e+00 1.0547e+01]]; [3980.7766]
52; [[1.0492e+01 1.1078e+01 0.0000e+00 1.0438e+01 0.0000e+00 1.0477e+01
