Step; State; Reward
1; [[5.1300e-02 1.6182e+00 1.1444e-04 2.5452e-02 1.1444e-04 1.1444e-04
  1.5273e+00 1.4980e+00 2.5558e-02 1.4951e+00 1.4951e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [40.689663]
2; [[ 0.2751 10.76    0.      0.2345  0.      0.     10.01    9.85    0.2344
   8.03    8.03    0.      0.      0.      0.      0.    ]]; [1056.9996]
3; [[5.547e-01 1.270e+01 1.431e-04 5.566e-01 1.431e-04 1.431e-04 1.156e+01
  1.145e+01 5.562e-01 9.203e+00 9.203e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1432.2506]
4; [[0.442  9.35   0.     0.4421 0.     0.     9.46   9.46   0.4421 7.414
  7.414  0.     0.     0.     0.     0.    ]]; [962.3207]
5; [[3.7524e-01 9.5078e+00 1.1444e-04 3.7500e-01 1.1444e-04 1.1444e-04
  9.4688e+00 9.4609e+00 3.7500e-01 7.3594e+00 7.3594e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [957.14136]
6; [[0.3635 9.016  0.     0.3635 0.     0.     9.3    9.305  0.3633 5.89
  5.89   0.     0.     0.     0.     0.    ]]; [868.21844]
7; [[ 0.2627 12.3     0.      0.2627  0.      0.     11.83   11.81    0.2627
   6.926   6.926   0.      0.      0.      0.      0.    ]]; [1335.4691]
8; [[ 0.402  12.266   0.      0.4011  0.      0.     11.82   11.81    0.4014
   7.137   7.137   0.      0.      0.      0.      0.    ]]; [1360.2028]
9; [[1.141  9.85   0.     1.165  0.7925 0.     8.65   9.74   1.165  6.07
  6.863  0.     0.     0.7925 0.     0.    ]]; [1059.2495]
10; [[ 2.287 11.56   0.     2.287  1.843  0.     9.96  11.81   2.287  6.605
   8.45   0.     0.     1.843  0.     0.   ]]; [1747.1078]
11; [[1.493 9.68  0.    1.493 1.206 0.    8.266 9.484 1.493 5.2   6.406 0.
  0.    1.206 0.    0.   ]]; [1073.8514]
12; [[1.5771e+00 9.5781e+00 1.1444e-04 1.5762e+00 1.2959e+00 1.1444e-04
  8.1406e+00 9.4375e+00 1.5762e+00 5.1250e+00 6.4219e+00 1.1444e-04
  1.1444e-04 1.2959e+00 1.1444e-04 1.1444e-04]]; [1079.5049]
13; [[1.754 9.49  0.    1.754 1.343 0.    7.977 9.34  1.754 5.465 6.83  0.
  0.    1.363 0.    0.   ]]; [1111.1053]
14; [[1.8223e+00 9.2734e+00 1.1444e-04 1.8223e+00 1.4355e+00 1.1444e-04
  8.0000e+00 9.4609e+00 1.8223e+00 5.7305e+00 7.1914e+00 1.1444e-04
  1.1444e-04 1.4600e+00 1.1444e-04 1.1444e-04]]; [1151.2268]
15; [[ 1.804  9.39   0.     1.804  1.403  0.     8.02  11.81   2.254  7.13
   8.914  0.     0.     1.426  0.     0.   ]]; [1550.8842]
16; [[2.273e+00 1.188e+01 1.431e-04 2.273e+00 1.900e+00 1.431e-04 9.891e+00
  9.461e+00 1.819e+00 5.504e+00 7.055e+00 1.431e-04 1.431e-04 1.940e+00
  1.431e-04 1.431e-04]]; [1337.8959]
17; [[ 1.221 10.06   0.     1.238  0.968  0.     8.38   9.35   1.238  5.996
   6.984  0.     0.     0.989  0.     0.   ]]; [1025.1508]
18; [[5.2539e-01 1.1844e+01 1.4305e-04 5.4297e-01 1.4305e-04 1.4305e-04
  1.1836e+01 1.1797e+01 5.4297e-01 8.9922e+00 8.9922e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1452.7651]
19; [[ 0.4424 11.16    0.      0.4424  0.      0.     11.836  11.81    0.4424
   8.84    8.84    0.      0.      0.      0.      0.    ]]; [1421.3175]
20; [[2.510e-01 1.204e+01 1.431e-04 2.510e-01 1.431e-04 1.431e-04 1.083e+01
  1.083e+01 2.510e-01 7.727e+00 7.727e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1210.645]
21; [[0.9663 8.47   0.     0.9663 0.4644 0.     8.83   9.375  0.9663 5.215
  5.68   0.     0.     0.4644 0.     0.    ]]; [890.84454]
22; [[1.500e+00 1.312e+01 1.431e-04 1.493e+00 1.159e+00 1.431e-04 1.045e+01
  1.168e+01 1.482e+00 4.934e+00 6.121e+00 1.431e-04 1.431e-04 1.185e+00
  1.431e-04 1.431e-04]]; [1479.0524]
23; [[1.574 8.92  0.    1.574 1.025 0.    8.445 9.48  1.574 4.75  5.78  0.
  0.    1.03  0.    0.   ]]; [1041.9414]
24; [[9.736e-01 1.309e+01 1.431e-04 9.731e-01 6.763e-01 1.431e-04 1.102e+01
  1.171e+01 9.731e-01 4.070e+00 4.762e+00 1.431e-04 1.431e-04 6.904e-01
  1.431e-04 1.431e-04]]; [1272.8865]
25; [[1.263 8.945 0.    1.267 0.747 0.    8.6   9.35  1.267 4.04  4.793 0.
  0.    0.753 0.    0.   ]]; [923.8522]
26; [[ 0.8564 10.58    0.      0.8813  0.6035  0.      8.77    9.39    0.8813
   2.908   3.523   0.      0.      0.6147  0.      0.    ]]; [833.75604]
27; [[1.158 9.88  0.    1.15  0.687 0.    8.75  9.44  1.15  2.76  3.447 0.
  0.    0.693 0.    0.   ]]; [884.64374]
28; [[ 1.613 11.88   0.     1.623  1.184  0.    10.57  11.77   1.623  4.99
   6.195  0.     0.     1.195  0.     0.   ]]; [1490.429]
29; [[0.8022 8.766  0.     0.8022 0.356  0.     9.07   9.43   0.8022 2.184
  2.543  0.     0.     0.3604 0.     0.    ]]; [766.84656]
30; [[ 0.3433 10.82    0.      0.3433  0.      0.     11.14   11.11    0.3435
   2.777   2.777   0.      0.      0.      0.      0.    ]]; [1010.5575]
31; [[2.1838e-01 1.0531e+01 1.1444e-04 2.1619e-01 1.1444e-04 1.1444e-04
  9.3828e+00 9.4688e+00 2.1606e-01 7.1250e+00 7.1250e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [952.3925]
32; [[ 0.528 10.39   0.     0.528  0.     0.     9.49   9.49   0.528  6.676
   6.676  0.     0.     0.     0.     0.   ]]; [966.0805]
33; [[2.1704e-01 1.0430e+01 1.1444e-04 2.1692e-01 1.1444e-04 1.1444e-04
  9.3984e+00 9.5078e+00 2.1692e-01 8.3359e+00 8.3359e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1001.66144]
34; [[ 0.516  10.305   0.      0.535   0.      0.     11.43   11.54    0.5347
   3.584   3.584   0.      0.      0.      0.      0.    ]]; [1107.494]
35; [[2.0081e-01 1.0078e+01 1.1444e-04 2.0068e-01 1.1444e-04 1.1444e-04
  9.4062e+00 9.4688e+00 2.0081e-01 4.2773e+00 4.2773e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [832.0012]
36; [[0.4224 8.984  0.     0.422  0.     0.     8.84   8.805  0.422  4.703
  4.703  0.     0.     0.     0.     0.    ]]; [766.5688]
37; [[3.2690e-01 9.0859e+00 1.1444e-04 3.2568e-01 1.1444e-04 1.1444e-04
  9.4922e+00 9.4922e+00 3.2568e-01 1.7979e+00 1.7979e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [729.78394]
38; [[0.2103 9.62   0.     0.2109 0.     0.     9.48   9.47   0.2108 1.866
  1.866  0.     0.     0.     0.     0.    ]]; [731.9653]
39; [[5.7227e-01 9.6641e+00 1.1444e-04 5.7178e-01 1.1444e-04 1.1444e-04
  9.4688e+00 9.4688e+00 5.7178e-01 2.0078e+00 2.0078e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [765.43567]
40; [[0.3865 9.25   0.     0.3867 0.     0.     9.35   9.32   0.3867 1.109
  1.109  0.     0.     0.     0.     0.    ]]; [691.80927]
41; [[2.1008e-01 1.1109e+01 1.1444e-04 2.0984e-01 1.1444e-04 1.1444e-04
  9.5078e+00 9.5078e+00 2.0984e-01 1.7393e+00 1.7393e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [759.74347]
42; [[ 0.587  10.33    0.      0.5967  0.      0.      9.516   9.51    0.5967
   1.55    1.55    0.      0.      0.      0.      0.    ]]; [766.0393]
43; [[0.5044 9.195  0.     0.5063 0.     0.     9.5    9.49   0.5063 1.874
  1.874  0.     0.     0.     0.     0.    ]]; [748.75977]
44; [[ 0.2654 12.71    0.      0.2654  0.      0.     11.89   11.89    0.2654
   1.386   1.732   0.      0.      0.      0.      0.    ]]; [1096.9634]
45; [[ 0.3062 11.03    0.      0.306   0.      0.      9.51    9.5     0.306
   1.227   1.227   0.      0.      0.      0.      0.    ]]; [745.3911]
46; [[0.5117 8.55   0.     0.511  0.     0.     8.695  8.69   0.511  1.568
  1.568  0.     0.     0.     0.     0.    ]]; [636.2109]
47; [[0.297  9.45   0.     0.2969 0.     0.     9.52   9.52   0.297  1.5205
  1.5205 0.     0.     0.     0.     0.    ]]; [727.5451]
48; [[0.2386 6.883  0.     0.2393 0.     0.     8.69   8.96   0.2393 2.105
  2.105  0.     0.     0.     0.     0.    ]]; [629.6266]
49; [[0.00837 0.00511 0.      0.02444 0.      0.      0.00511 0.0942  0.02444
  0.04852 0.04852 0.      0.      0.      0.      0.     ]]; [1.6407928]
50; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
51; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
52; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
53; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
54; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
55; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
56; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
57; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
58; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
59; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
60; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
61; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
62; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
63; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
64; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
65; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
