Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
28; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
29; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
30; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
31; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
32; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
33; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
34; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
35; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
36; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
37; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
38; [[0.05273   0.001025  0.        0.000619  0.        0.        0.0009117
  0.0008116 0.000619  0.        0.        0.        0.        0.
  0.        0.       ]]; [0.]
39; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
40; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
41; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
42; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
43; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
44; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
45; [[5.878e-02 1.418e+00 3.014e-04 5.112e-02 3.014e-04 3.014e-04 1.372e+00
  9.014e-01 4.709e-02 8.911e-01 8.911e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
46; [[0.0666 2.59   0.     0.0666 0.     0.     1.483  1.812  0.0696 1.812
  1.812  0.     0.     0.     0.     0.    ]]; [0.]
47; [[0.0666 2.59   0.     0.0666 0.     0.     1.483  1.812  0.0696 1.812
  1.812  0.     0.     0.     0.     0.    ]]; [0.]
48; [[0.0666 2.59   0.     0.0666 0.     0.     1.483  1.812  0.0696 1.812
  1.812  0.     0.     0.     0.     0.    ]]; [0.]
49; [[0.0666 2.59   0.     0.0666 0.     0.     1.483  1.812  0.0696 1.812
  1.812  0.     0.     0.     0.     0.    ]]; [0.]
50; [[0.0666 2.59   0.     0.0666 0.     0.     1.483  1.812  0.0696 1.812
  1.812  0.     0.     0.     0.     0.    ]]; [0.]
51; [[0.0939  4.344   0.      0.0939  0.      0.      3.008   3.057   0.09406
  3.057   3.057   0.      0.      0.      0.      0.     ]]; [0.]
52; [[0.0939  4.344   0.      0.0939  0.      0.      3.008   3.057   0.09406
  3.057   3.057   0.      0.      0.      0.      0.     ]]; [0.]
53; [[0.0939  4.344   0.      0.0939  0.      0.      3.008   3.057   0.09406
