Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
28; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
29; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
30; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
31; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
32; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
33; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
34; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
35; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
36; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
37; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
38; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
39; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
40; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
41; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
42; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
43; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
44; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
45; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
46; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
47; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
48; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
49; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
50; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
51; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
52; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
53; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
54; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
55; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
56; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
57; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
58; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
59; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
60; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
61; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
62; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
63; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
64; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
65; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
66; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
67; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
68; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
69; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
70; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
71; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
72; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
73; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
74; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
75; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
76; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
77; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
78; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
79; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
80; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
81; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
82; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
83; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
84; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
85; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
86; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
87; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
88; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
89; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
90; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
91; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
92; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
93; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
94; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
95; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
96; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
97; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
98; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
99; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
100; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
101; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
102; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
103; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
104; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
105; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
106; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
107; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
108; [[0.05334 0.6445  0.      0.01712 0.      0.      0.64    0.55    0.01712
  0.5464  0.5464  0.      0.      0.      0.      0.     ]]; [0.]
109; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
110; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
111; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
112; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
113; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
114; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
115; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
116; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
117; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
118; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
119; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
120; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
121; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
122; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
123; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
124; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
125; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
126; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
127; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
128; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
129; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
130; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
131; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
132; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
133; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
134; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
135; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
136; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
137; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
138; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
139; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
140; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
141; [[0.1669 6.477  0.     0.1384 0.     0.     5.83   5.695  0.1381 5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
142; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
143; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
144; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
145; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
146; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
147; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
148; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00]]; [0.]
149; [[2.426e-01 1.202e+01 0.000e+00 2.417e-01 0.000e+00 3.014e-04 8.805e+00
  8.531e+00 2.377e-01 8.531e+00 8.531e+00 0.000e+00 0.000e+00 0.000e+00
