Step; State; Reward
Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
Step; State; Reward
Step; State; Reward
Step; State; Reward
31; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
32; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
33; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
34; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
35; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
36; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
37; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
38; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
39; [[1.313 8.99  0.    1.313 0.    1.102 8.1   9.01  1.313 7.832 6.73  0.
  0.    0.    0.    1.102]]; [0.]
40; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
41; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
42; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
43; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
44; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
45; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
46; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
47; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
48; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
49; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
50; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
51; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
52; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
53; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
54; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
55; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
56; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
57; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
58; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
59; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
60; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
