Step; State; Reward
1; [[0.01477  0.25     0.       0.006508 0.       0.       0.109    0.109
  0.006508 0.107    0.107    0.       0.       0.       0.       0.      ]]; [1.9809113]
2; [[2.6978e-01 1.2273e+01 1.4305e-04 2.7002e-01 1.4305e-04 1.4305e-04
  1.1844e+01 1.1766e+01 2.6978e-01 1.1766e+01 1.1766e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1562.8917]
3; [[ 9.2    6.133  0.     9.22   0.     0.    16.42  11.84   0.523 11.836
  11.836  0.     8.7    0.     0.     0.   ]]; [3754.3286]
4; [[9.5156e+00 7.1411e-03 1.1444e-04 9.5859e+00 1.1444e-04 6.4688e+00
  3.0645e+00 1.1273e+01 6.8555e+00 1.1266e+01 4.8281e+00 1.1444e-04
  9.5234e+00 1.1444e-04 1.1444e-04 6.4609e+00]]; [3401.3418]
5; [[7.68  0.    0.    7.6   0.    7.    0.    7.027 7.277 7.027 0.    0.
  6.996 0.    0.    7.008]]; [1812.3756]
6; [[0.00011444 0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00567627]
7; [[0.0001259 0.        0.        0.        0.        0.        0.
  0.        0.        0.        0.        0.        0.        0.
  0.        0.       ]]; [0.00201416]
8; [[0.000143  0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.0071106]
9; [[0.0001259 0.        0.        0.        0.        0.        0.
  0.        0.        0.        0.        0.        0.        0.
  0.        0.       ]]; [0.00201416]
10; [[0.00011444 0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00567627]
11; [[0.0001583 0.        0.        0.        0.        0.        0.
  0.        0.        0.        0.        0.        0.        0.
  0.        0.       ]]; [0.00253296]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0.0001259 0.        0.        0.        0.        0.        0.
