Step; State; Reward
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
34; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
35; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
36; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
37; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
38; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
39; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
40; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
41; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
  7.04   0.     0.     0.     0.     0.    ]]; [0.]
42; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
43; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
44; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
45; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
46; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
47; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
48; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
49; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
