Step; State; Reward
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
142; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
143; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
144; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
145; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
146; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
147; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
148; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
  8.6172e+00 8.2734e+00 1.9934e-01 8.2734e+00 8.2734e+00 3.0136e-04
  3.0136e-04 1.4305e-04 3.0136e-04 3.0136e-04]]; [0.]
149; [[2.2742e-01 1.0125e+01 3.0136e-04 2.0093e-01 3.0136e-04 3.0136e-04
