Step; State; Reward
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
36; [[0.08154  0.05157  0.       0.008255 0.       0.       0.0397   0.02747
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
37; [[0.08154  0.05157  0.       0.008255 0.       0.       0.0397   0.02747
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
38; [[0.08154  0.05157  0.       0.008255 0.       0.       0.0397   0.02747
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
39; [[0.08154  0.05157  0.       0.008255 0.       0.       0.0397   0.02747
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
40; [[0.08154  0.05157  0.       0.008255 0.       0.       0.0397   0.02747
  0.007755 0.01807  0.01807  0.       0.       0.       0.       0.      ]]; [0.]
41; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
42; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
43; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
44; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
45; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
46; [[2.992e-02 6.851e-01 2.003e-04 2.992e-02 2.003e-04 2.003e-04 6.777e-01
  3.394e-01 1.743e-02 3.379e-01 3.381e-01 2.003e-04 2.003e-04 9.537e-05
  2.003e-04 2.003e-04]]; [0.]
47; [[0.0705  2.94    0.      0.0705  0.      0.      2.854   2.355   0.08734
  2.355   2.355   0.      0.      0.      0.      0.     ]]; [0.]
48; [[0.0705  2.94    0.      0.0705  0.      0.      2.854   2.355   0.08734
  2.355   2.355   0.      0.      0.      0.      0.     ]]; [0.]
49; [[0.0705  2.94    0.      0.0705  0.      0.      2.854   2.355   0.08734
  2.355   2.355   0.      0.      0.      0.      0.     ]]; [0.]
50; [[0.0705  2.94    0.      0.0705  0.      0.      2.854   2.355   0.08734
  2.355   2.355   0.      0.      0.      0.      0.     ]]; [0.]
51; [[0.0917  4.54    0.      0.09143 0.      0.      3.984   3.297   0.08813
  3.297   3.297   0.      0.      0.      0.      0.     ]]; [0.]
52; [[0.0917  4.54    0.      0.09143 0.      0.      3.984   3.297   0.08813
  3.297   3.297   0.      0.      0.      0.      0.     ]]; [0.]
53; [[0.0917  4.54    0.      0.09143 0.      0.      3.984   3.297   0.08813
  3.297   3.297   0.      0.      0.      0.      0.     ]]; [0.]
54; [[0.0917  4.54    0.      0.09143 0.      0.      3.984   3.297   0.08813
  3.297   3.297   0.      0.      0.      0.      0.     ]]; [0.]
55; [[0.0917  4.54    0.      0.09143 0.      0.      3.984   3.297   0.08813
  3.297   3.297   0.      0.      0.      0.      0.     ]]; [0.]
56; [[2.6440e-01 9.8516e+00 1.1444e-04 2.6440e-01 1.1444e-04 1.1444e-04
  6.8125e+00 7.7227e+00 2.5464e-01 7.7227e+00 7.7227e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
57; [[2.6440e-01 9.8516e+00 1.1444e-04 2.6440e-01 1.1444e-04 1.1444e-04
  6.8125e+00 7.7227e+00 2.5464e-01 7.7227e+00 7.7227e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
58; [[2.6440e-01 9.8516e+00 1.1444e-04 2.6440e-01 1.1444e-04 1.1444e-04
  6.8125e+00 7.7227e+00 2.5464e-01 7.7227e+00 7.7227e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
59; [[2.6440e-01 9.8516e+00 1.1444e-04 2.6440e-01 1.1444e-04 1.1444e-04
  6.8125e+00 7.7227e+00 2.5464e-01 7.7227e+00 7.7227e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
60; [[2.6440e-01 9.8516e+00 1.1444e-04 2.6440e-01 1.1444e-04 1.1444e-04
  6.8125e+00 7.7227e+00 2.5464e-01 7.7227e+00 7.7227e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
61; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
62; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
63; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
64; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
65; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
66; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
67; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
68; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
69; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
70; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
71; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
72; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
73; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
74; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
75; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
76; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
77; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
