Step; State; Reward
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
800; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
801; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
802; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
803; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
804; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
805; [[0.143  7.086  0.     0.1462 0.     0.     6.188  6.438  0.1416 6.438
  6.438  0.     0.     0.     0.     0.    ]]; [0.]
806; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
807; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
808; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
809; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
810; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
811; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
812; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
813; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
814; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
815; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
816; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
817; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
818; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
819; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
820; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
821; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
822; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
823; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
824; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
825; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
826; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
827; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
828; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
829; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
830; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
831; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
832; [[0.1917 9.46   0.     0.1855 0.     0.     7.094  6.863  0.1908 6.863
  6.863  0.     0.     0.     0.     0.    ]]; [0.]
833; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
834; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
835; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
836; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
837; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
838; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
839; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
840; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
841; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
842; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
843; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
844; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
845; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
846; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
847; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
848; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
849; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
850; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
851; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
852; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
853; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
854; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
855; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
856; [[4.353e-01 7.238e+00 1.431e-04 5.010e-01 1.431e-04 1.431e-04 7.090e+00
  6.996e+00 4.941e-01 6.996e+00 6.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
857; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
858; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
859; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
860; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
861; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
862; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
863; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
864; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
865; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
866; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
867; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
868; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
869; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
870; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
871; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
872; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
873; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
874; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
875; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
876; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
877; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
878; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
879; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
880; [[0.312 5.418 0.    0.317 0.    0.    5.62  5.54  0.323 5.54  5.54  0.
  0.    0.    0.    0.   ]]; [0.]
881; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
882; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
883; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
884; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
885; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
886; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
887; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
888; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
889; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
890; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
891; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
892; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
893; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
894; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
895; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
896; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
897; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
898; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
899; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
900; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
901; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
902; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
903; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
904; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
905; [[0.265  4.96   0.     0.2686 0.     0.     5.645  5.688  0.268  5.688
  5.688  0.     0.     0.     0.     0.    ]]; [0.]
906; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
907; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
908; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
909; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
910; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
911; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
912; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
913; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
914; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
915; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
916; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
917; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
918; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
919; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
920; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
921; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
922; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
923; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
924; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
925; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
926; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
927; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
928; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
929; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
930; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
931; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
932; [[1.3599e-01 6.3516e+00 1.1444e-04 1.3611e-01 1.1444e-04 1.1444e-04
  6.0469e+00 6.0547e+00 1.3672e-01 6.0547e+00 6.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
933; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
934; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
935; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
936; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
937; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
938; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
939; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
940; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
941; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
942; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
943; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
944; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
945; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
946; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
947; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
948; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
949; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
  7.98   0.     0.     0.     0.     0.    ]]; [0.]
950; [[0.1797 9.664  0.     0.1788 0.     0.     7.992  7.98   0.1783 7.98
