Step; State; Reward
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
50; [[0.0973  4.33    0.      0.0981  0.      0.      2.74    3.193   0.10425
  3.193   3.193   0.      0.      0.      0.      0.     ]]; [0.]
51; [[0.0973  4.33    0.      0.0981  0.      0.      2.74    3.193   0.10425
  3.193   3.193   0.      0.      0.      0.      0.     ]]; [0.]
52; [[0.0973  4.33    0.      0.0981  0.      0.      2.74    3.193   0.10425
  3.193   3.193   0.      0.      0.      0.      0.     ]]; [0.]
53; [[0.0973  4.33    0.      0.0981  0.      0.      2.74    3.193   0.10425
  3.193   3.193   0.      0.      0.      0.      0.     ]]; [0.]
54; [[0.0973  4.33    0.      0.0981  0.      0.      2.74    3.193   0.10425
  3.193   3.193   0.      0.      0.      0.      0.     ]]; [0.]
55; [[1.5015e-01 5.7461e+00 1.1444e-04 1.4990e-01 1.1444e-04 1.1444e-04
  4.6211e+00 4.1289e+00 1.3123e-01 4.1289e+00 4.1289e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
56; [[1.5015e-01 5.7461e+00 1.1444e-04 1.4990e-01 1.1444e-04 1.1444e-04
  4.6211e+00 4.1289e+00 1.3123e-01 4.1289e+00 4.1289e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
57; [[1.5015e-01 5.7461e+00 1.1444e-04 1.4990e-01 1.1444e-04 1.1444e-04
  4.6211e+00 4.1289e+00 1.3123e-01 4.1289e+00 4.1289e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
58; [[1.5015e-01 5.7461e+00 1.1444e-04 1.4990e-01 1.1444e-04 1.1444e-04
  4.6211e+00 4.1289e+00 1.3123e-01 4.1289e+00 4.1289e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
59; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
60; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
61; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
62; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
63; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
64; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
65; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
66; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
67; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
68; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
69; [[0.2002 7.46   0.     0.2003 0.     0.     6.75   6.504  0.1859 6.504
  6.504  0.     0.     0.     0.     0.    ]]; [0.]
70; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
71; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
72; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
73; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
74; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
75; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
76; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
77; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
78; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
79; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
80; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
81; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
82; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
83; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
