Step; State; Reward
0; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143  0.000143  0.0003014 0.000143  0.000143  0.000143
  0.000143  0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143  0.000143  0.000143  0.        0.        0.       ]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[2.4866e-01 1.1469e+01 1.4305e-04 5.6648e-04 5.6648e-04 2.4841e-01
  1.4305e-04 1.4305e-04 1.0375e+01 1.0375e+01 9.8203e+00 2.4841e-01
  9.8203e+00 9.8203e+00 9.8203e+00 1.4305e-04 1.4305e-04 1.4305e-04
  9.8047e+00 1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
3; [[ 0.406 11.44   0.     0.     0.     0.406  0.     0.     9.41   7.777
   9.41   0.406  9.41   9.41   9.41   0.     0.     0.     9.4    0.
   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.   ]]; [0.]
4; [[ 0.4412  9.29    0.      0.      0.      0.4412  0.      0.      9.42
   6.24   11.8     0.5513 11.8    11.8    11.8     0.      0.      0.
  11.8     0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
5; [[0.2515 9.78   0.     0.     0.     0.2515 0.     0.     9.27   5.59
  9.32   0.2515 9.32   9.32   9.32   0.     0.     0.     9.086  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
6; [[0.2515 9.78   0.     0.     0.     0.2515 0.     0.     9.27   5.59
  9.32   0.2515 9.32   9.32   9.32   0.     0.     0.     9.086  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
7; [[0.2515 9.78   0.     0.     0.     0.2515 0.     0.     9.27   5.59
  9.32   0.2515 9.32   9.32   9.32   0.     0.     0.     9.086  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
8; [[ 0.2737 12.734   0.      0.      0.      0.2734  0.      0.     11.695
   6.953  11.76    0.2734 11.76   11.76   11.76    0.      0.      0.
  11.75    0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
9; [[ 0.2737 12.734   0.      0.      0.      0.2734  0.      0.     11.695
   6.953  11.76    0.2734 11.76   11.76   11.76    0.      0.      0.
  11.75    0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
10; [[2.632e-01 9.180e+00 0.000e+00 6.390e-05 6.390e-05 2.632e-01 0.000e+00
  0.000e+00 8.875e+00 6.695e+00 8.930e+00 2.632e-01 8.930e+00 8.930e+00
  8.930e+00 0.000e+00 0.000e+00 0.000e+00 8.898e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]; [0.]
11; [[2.632e-01 9.180e+00 0.000e+00 6.390e-05 6.390e-05 2.632e-01 0.000e+00
  0.000e+00 8.875e+00 6.695e+00 8.930e+00 2.632e-01 8.930e+00 8.930e+00
  8.930e+00 0.000e+00 0.000e+00 0.000e+00 8.898e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]; [0.]
12; [[2.632e-01 9.180e+00 0.000e+00 6.390e-05 6.390e-05 2.632e-01 0.000e+00
  0.000e+00 8.875e+00 6.695e+00 8.930e+00 2.632e-01 8.930e+00 8.930e+00
  8.930e+00 0.000e+00 0.000e+00 0.000e+00 8.898e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]; [0.]
13; [[2.632e-01 9.180e+00 0.000e+00 6.390e-05 6.390e-05 2.632e-01 0.000e+00
  0.000e+00 8.875e+00 6.695e+00 8.930e+00 2.632e-01 8.930e+00 8.930e+00
  8.930e+00 0.000e+00 0.000e+00 0.000e+00 8.898e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]; [0.]
14; [[0.3013 9.46   0.     0.     0.     0.3013 0.     0.     9.32   7.54
