Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5202, 142.37, 46.1, 2.71, -1, 1
5202, 219.53, 46.5, 1.78, -1, 0
5201, 151.64, 47.3, 2.61, -1, 4
5202, 203.66, 46.6, 1.92, -1, 2
5202, 171.33, 46.7, 2.29, -1, 3
46110, 150.0, 50.1, 2.8, 925.0, 4
46110, 138.0, 50.1, 3.05, 1555.0, 0
5201, 168.32, 46.7, 2.33, -1, 3
5201, 145.74, 45.0, 2.59, -1, 2
46110, 106.0, 50.7, 4.02, 1569.0, 1
46110, 167.0, 50.3, 2.53, 1559.0, 3
5201, 139.23, 44.7, 2.7, -1, 0
5202, 132.77, 44.1, 2.79, -1, 4
5201, 107.71, 44.4, 3.46, -1, 1
46110, 144.0, 50.0, 2.92, 2108.0, 2
5204, 177.7, 45.8, 2.16, -1, 4
46116, 195.0, 50.8, 2.19, 1852.0, 3
46116, 178.0, 50.1, 2.36, 1338.0, 2
46116, 246.0, 50.1, 1.71, 1680.0, 0
46116, 171.96, 51.2, 2.5, 1154.0, 1
5204, 179.56, 45.9, 2.14, -1, 2
46116, 177.0, 50.7, 2.4, 1054.0, 4
5204, 195.75, 45.7, 1.96, -1, 3
5204, 173.06, 46.8, 2.27, -1, 1
5204, 247.19, 43.5, 1.48, -1, 0
46114, 250.0, 50.3, 1.69, 1902.0, 0
46114, 166.0, 50.1, 2.53, 1256.0, 1
46114, 190.0, 51.0, 2.25, 1936.0, 3
46114, 197.0, 50.7, 2.16, 1236.0, 2
46114, 174.0, 50.5, 2.43, 942.0, 4
46112, 131.0, 50.1, 3.21, 985.0, 4
5203, 175.51, 44.6, 2.13, -1, 4
46112, 170.0, 50.2, 2.48, 1728.0, 3
5203, 250.38, 47.0, 1.58, -1, 0
5203, 167.36, 44.1, 2.21, -1, 1
46112, 203.0, 50.6, 2.09, 1516.0, 2
46112, 218.0, 50.1, 1.93, 2328.0, 0
5203, 191.22, 45.4, 1.99, -1, 3
5203, 198.42, 46.7, 1.98, -1, 2
46112, 141.0, 50.3, 3.0, 1292.0, 1
