rulename,switchid,tcpsrc,tcpdst,outport
rule_s4_5205_to_46118_out_3,00:00:00:00:00:00:00:04,5205,46118,controller
rule_s5_5205_to_46118_out_2,00:00:00:00:00:00:00:05,5205,46118,controller
rule_s1_5206_to_46120_out_2,00:00:00:00:00:00:00:01,5206,46120,controller
rule_s2_5206_to_46120_out_4,00:00:00:00:00:00:00:02,5206,46120,controller
rule_s3_5206_to_46120_out_1,00:00:00:00:00:00:00:03,5206,46120,controller
rule_s4_5206_to_46120_out_3,00:00:00:00:00:00:00:04,5206,46120,controller
rule_s5_5206_to_46120_out_2,00:00:00:00:00:00:00:05,5206,46120,controller
rule_s1_5207_to_46122_out_2,00:00:00:00:00:00:00:01,5207,46122,controller
rule_s2_5207_to_46122_out_4,00:00:00:00:00:00:00:02,5207,46122,controller
rule_s3_5207_to_46122_out_1,00:00:00:00:00:00:00:03,5207,46122,controller
rule_s4_5207_to_46122_out_3,00:00:00:00:00:00:00:04,5207,46122,controller
rule_s5_5207_to_46122_out_2,00:00:00:00:00:00:00:05,5207,46122,controller
rule_s1_5208_to_46124_out_2,00:00:00:00:00:00:00:01,5208,46124,controller
rule_s2_5208_to_46124_out_4,00:00:00:00:00:00:00:02,5208,46124,controller
rule_s3_5208_to_46124_out_1,00:00:00:00:00:00:00:03,5208,46124,controller
rule_s4_5208_to_46124_out_3,00:00:00:00:00:00:00:04,5208,46124,controller
rule_s5_5208_to_46124_out_2,00:00:00:00:00:00:00:05,5208,46124,controller
rule_s1_5209_to_46126_out_2,00:00:00:00:00:00:00:01,5209,46126,controller
rule_s2_5209_to_46126_out_4,00:00:00:00:00:00:00:02,5209,46126,controller
rule_s3_5209_to_46126_out_1,00:00:00:00:00:00:00:03,5209,46126,controller
rule_s4_5209_to_46126_out_3,00:00:00:00:00:00:00:04,5209,46126,controller
rule_s5_5209_to_46126_out_2,00:00:00:00:00:00:00:05,5209,46126,controller
rule_s1_5210_to_46128_out_2,00:00:00:00:00:00:00:01,5210,46128,controller
rule_s2_5210_to_46128_out_4,00:00:00:00:00:00:00:02,5210,46128,controller
rule_s3_5210_to_46128_out_1,00:00:00:00:00:00:00:03,5210,46128,controller
rule_s4_5210_to_46128_out_3,00:00:00:00:00:00:00:04,5210,46128,controller
rule_s5_5210_to_46128_out_2,00:00:00:00:00:00:00:05,5210,46128,controller
