agent, num_iperfs, port_number, original_size, transfered, retries, flow_completion_time, bandwidth, iter
A1,4,46112,10M,10.3,16.0,23.0,3.74,2
A1,4,46114,10M,10.4,214.0,33.95,2.57,3
A1,4,46114,10M,10.3,2.0,25.0,3.46,2
A1,4,46114,10M,10.2,102.0,25.0,3.42,0
A1,4,46114,10M,10.1,134.0,31.01,2.73,1
A1,4,46114,10M,11.2,50.0,38.0,2.47,4
A1,4,46116,10M,10.9,72.0,26.68,3.42,0
A1,4,46116,10M,10.0,158.0,29.0,2.89,1
A1,4,5204,10M,7.04,-1,38.84,1.52,4
A1,4,46116,10M,11.1,169.0,35.0,2.65,3
A1,4,46116,10M,10.4,3.0,26.84,3.26,2
A1,4,5204,10M,6.55,-1,30.17,1.82,1
A1,4,5204,10M,7.49,-1,27.17,2.31,0
A1,4,5204,10M,7.26,-1,27.43,2.22,2
A1,4,46116,10M,10.9,48.0,37.0,2.47,4
A1,4,5204,10M,8.14,-1,35.84,1.91,3
A1,4,5202,10M,7.81,-1,24.12,2.72,2
A1,4,5202,10M,7.65,-1,29.28,2.19,3
A1,4,46110,10M,10.2,345.0,27.0,3.16,4
A1,4,5202,10M,7.22,-1,29.38,2.06,1
A1,4,5202,10M,6.9,-1,19.1,3.03,0
A1,4,5201,10M,8.2,-1,27.63,2.49,4
A1,4,46110,10M,10.4,129.0,20.0,4.34,3
A1,4,5201,10M,6.55,-1,14.54,3.78,0
A1,4,5202,10M,9.05,-1,34.76,2.18,4
A1,4,5201,10M,8.12,-1,20.92,3.25,1
A1,4,46110,10M,10.6,0.0,11.0,8.06,2
A1,4,46110,10M,10.9,0.0,13.0,7.04,0
A1,4,5201,10M,5.76,-1,21.29,2.27,3
A1,4,5201,10M,7.67,-1,12.4,5.19,2
A1,4,46110,10M,10.4,64.0,20.0,4.36,1
A1,4,5202,50M,46.1,-1,142.37,2.71,1
A1,4,5202,50M,46.5,-1,219.53,1.78,0
A1,4,5201,50M,47.3,-1,151.64,2.61,4
A1,4,5202,50M,46.6,-1,203.66,1.92,2
A1,4,5202,50M,46.7,-1,171.33,2.29,3
A1,4,46110,50M,50.1,925.0,150.0,2.8,4
A1,4,46110,50M,50.1,1555.0,138.0,3.05,0
A1,4,5201,50M,46.7,-1,168.32,2.33,3
A1,4,5201,50M,45.0,-1,145.74,2.59,2
A1,4,46110,50M,50.7,1569.0,106.0,4.02,1
A1,4,46110,50M,50.3,1559.0,167.0,2.53,3
A1,4,5201,50M,44.7,-1,139.23,2.7,0
A1,4,5202,50M,44.1,-1,132.77,2.79,4
A1,4,5201,50M,44.4,-1,107.71,3.46,1
A1,4,46110,50M,50.0,2108.0,144.0,2.92,2
A1,4,5204,50M,45.8,-1,177.7,2.16,4
A1,4,46116,50M,50.8,1852.0,195.0,2.19,3
A1,4,46116,50M,50.1,1338.0,178.0,2.36,2
A1,4,46116,50M,50.1,1680.0,246.0,1.71,0
A1,4,46116,50M,51.2,1154.0,171.96,2.5,1
A1,4,5204,50M,45.9,-1,179.56,2.14,2
A1,4,46116,50M,50.7,1054.0,177.0,2.4,4
A1,4,5204,50M,45.7,-1,195.75,1.96,3
A1,4,5204,50M,46.8,-1,173.06,2.27,1
A1,4,5204,50M,43.5,-1,247.19,1.48,0
A1,4,46114,50M,50.3,1902.0,250.0,1.69,0
A1,4,46114,50M,50.1,1256.0,166.0,2.53,1
A1,4,46114,50M,51.0,1936.0,190.0,2.25,3
A1,4,46114,50M,50.7,1236.0,197.0,2.16,2
A1,4,46114,50M,50.5,942.0,174.0,2.43,4
A1,4,46112,50M,50.1,985.0,131.0,3.21,4
A1,4,5203,50M,44.6,-1,175.51,2.13,4
A1,4,46112,50M,50.2,1728.0,170.0,2.48,3
A1,4,5203,50M,47.0,-1,250.38,1.58,0
A1,4,5203,50M,44.1,-1,167.36,2.21,1
A1,4,46112,50M,50.6,1516.0,203.0,2.09,2
A1,4,46112,50M,50.1,2328.0,218.0,1.93,0
A1,4,5203,50M,45.4,-1,191.22,1.99,3
A1,4,5203,50M,46.7,-1,198.42,1.98,2
A1,4,46112,50M,50.3,1292.0,141.0,3.0,1
A1,4,5202,100M,95.3,-1,242.51,3.29,2
A1,4,46114,100M,100.0,1777.0,369.0,2.28,1
A1,4,5201,100M,94.7,-1,387.86,2.05,0
A1,4,5203,100M,91.8,-1,313.0,2.46,3
A1,4,46116,100M,101.0,1046.0,337.0,2.51,2
A1,4,46116,100M,101.0,1766.0,372.01,2.28,3
A1,4,46112,100M,100.0,1479.0,342.0,2.46,4
A1,4,5203,100M,95.9,-1,324.39,2.48,2
A1,4,5201,100M,94.4,-1,393.06,2.01,1
A1,4,46114,100M,100.0,2943.0,335.0,2.51,0
A1,4,5202,100M,93.3,-1,362.6,2.16,3
A1,4,5202,100M,93.6,-1,371.81,2.11,1
A1,4,46114,100M,100.0,1168.0,323.0,2.6,2
A1,4,5201,100M,94.0,-1,322.65,2.44,3
A1,4,5203,100M,94.6,-1,336.45,2.36,0
A1,4,46116,100M,100.0,1912.0,365.0,2.3,1
A1,4,46116,100M,101.0,2744.0,372.0,2.27,0
A1,4,5203,100M,96.5,-1,369.87,2.19,1
A1,4,5204,100M,96.3,-1,321.67,2.51,4
A1,4,46110,100M,100.0,1359.0,285.0,2.95,4
A1,4,5201,100M,95.4,-1,347.93,2.3,2
A1,4,46114,100M,100.0,2026.0,311.0,2.7,3
A1,4,5202,100M,93.5,-1,342.79,2.29,0
A1,4,5202,100M,94.4,-1,343.47,2.3,4
A1,4,46110,100M,101.0,1487.0,387.0,2.18,0
A1,4,5204,100M,94.1,-1,373.31,2.11,0
A1,4,46112,100M,101.0,2212.0,361.0,2.34,3
A1,4,46116,100M,100.0,1391.0,320.0,2.63,4
A1,4,46112,100M,100.0,1467.0,241.0,3.49,2
A1,4,5204,100M,95.4,-1,366.04,2.19,1
A1,4,5203,100M,96.9,-1,360.92,2.25,4
A1,4,46110,100M,101.0,2227.0,392.0,2.17,1
A1,4,46114,100M,101.0,1511.0,359.98,2.35,4
A1,4,46110,100M,100.0,2662.0,321.0,2.62,3
A1,4,5204,100M,93.8,-1,373.08,2.11,3
A1,4,46112,100M,100.0,2651.0,341.0,2.46,0
A1,4,46112,100M,100.0,2699.0,371.0,2.27,1
A1,4,5204,100M,95.0,-1,338.52,2.35,2
A1,4,46110,100M,100.0,1898.0,347.0,2.43,2
A1,4,5201,100M,95.6,-1,286.45,2.8,4
A1,4,5201,200M,194.0,-1,488.14,3.34,1
A1,4,5202,200M,195.0,-1,672.43,2.43,3
A1,4,46114,200M,200.0,5496.0,627.0,2.68,0
A1,4,46116,200M,200.0,3392.0,678.0,2.48,3
A1,4,5203,200M,194.0,-1,714.74,2.28,2
A1,4,46112,200M,200.0,3346.0,699.0,2.41,4
A1,4,5203,200M,191.0,-1,530.5,3.02,3
A1,4,46116,200M,201.0,3615.0,640.0,2.63,2
A1,4,46114,200M,200.0,3701.0,648.0,2.6,1
A1,4,5202,200M,194.0,-1,643.45,2.53,2
A1,4,5201,200M,191.0,-1,527.57,3.04,0
A1,4,5201,200M,193.0,-1,715.56,2.27,2
A1,4,46110,200M,201.0,4478.0,537.0,3.14,4
A1,4,5202,200M,186.0,-1,383.77,4.06,0
A1,4,46114,200M,200.0,3994.0,529.0,3.17,3
A1,4,46116,200M,201.0,3772.0,700.0,2.41,0
A1,4,5204,200M,194.0,-1,642.95,2.53,4
A1,4,5203,200M,193.0,-1,649.18,2.5,1
A1,4,5203,200M,192.0,-1,628.28,2.56,0
A1,4,46116,200M,200.0,4108.0,620.0,2.71,1
A1,4,46114,200M,201.0,2768.0,714.0,2.36,2
A1,4,5202,200M,185.0,-1,338.33,4.59,1
A1,4,5201,200M,193.0,-1,548.43,2.95,3
A1,4,46110,200M,201.0,7272.0,487.54,3.46,1
A1,4,5203,200M,196.0,-1,700.82,2.34,4
A1,4,5204,200M,195.0,-1,621.18,2.64,1
A1,4,46112,200M,200.0,3414.0,642.0,2.62,2
A1,4,46112,200M,200.0,3546.0,671.0,2.5,3
A1,4,5204,200M,190.0,-1,701.18,2.27,0
A1,4,46116,200M,200.0,2761.0,642.0,2.61,4
A1,4,5202,200M,195.0,-1,700.15,2.34,4
A1,4,46110,200M,200.0,6588.0,526.0,3.19,0
A1,4,5201,200M,191.0,-1,538.17,2.97,4
A1,4,46110,200M,200.0,3181.0,714.0,2.35,2
A1,4,5204,200M,195.0,-1,641.4,2.55,2
A1,4,46112,200M,200.0,11107.0,337.0,4.98,1
A1,4,46112,200M,200.0,12718.0,382.0,4.4,0
A1,4,5204,200M,195.0,-1,679.1,2.41,3
A1,4,46114,200M,200.0,2819.0,700.0,2.4,4
A1,4,46110,200M,200.0,3067.0,547.0,3.07,3
A1,4,46110,500M,500.0,19692.0,1237.0,3.39,0
A1,4,5202,500M,488.0,-1,1748.93,2.34,4
A1,4,46116,500M,500.0,25154.0,1363.0,3.08,4
A1,4,46112,500M,501.0,11912.0,1846.0,2.27,3
